Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
0,050	0,000			0,0000			0,050	0,000			0,0000			0,050	-0,002			-3,7500E-5		
0,100	0,000	0,000		0,0000	0,000		0,100	0,003	0,031		7,5000E-5	7,500E-4		0,100	0,000	0,141		0,0000	0,003	
0,150	0,000	0,000	-0,314	0,0000	0,000	-0,008	0,150	0,003	-0,047	-1,414	7,5000E-5	-0,001	-0,034	0,150	0,013	0,047	-2,985	3,0000E-4	0,001	-0,071
0,200	0,000	-0,031	0,471	0,0000	-7,500E-4	0,011	0,200	-0,002	-0,110	1,414	-3,7500E-5	-0,003	0,034	0,200	0,005	-0,157	0,471	1,1250E-4	-0,004	0,011
0,250	-0,003	0,047	1,414	-7,5000E-5	0,001	0,034	0,250	-0,008	0,094	4,869	-1,8750E-4	0,002	0,116	0,250	-0,003	0,094	4,712	-7,5000E-5	0,002	0,112
0,300	0,005	0,110	-0,157	1,1250E-4	0,003	-0,004	0,300	0,008	0,377	5,184	1,8750E-4	0,009	0,124	0,300	0,014	0,314	-6,126	3,3750E-4	0,007	-0,146
0,350	0,008	0,031	-1,257	1,8750E-4	7,500E-4	-0,030	0,350	0,030	0,613	8,325	7,1250E-4	0,015	0,199	0,350	0,028	-0,518	-9,896	6,7500E-4	-0,012	-0,236
0,400	0,008	-0,016	-0,471	1,8750E-4	-3,750E-4	-0,011	0,400	0,069	1,210	9,268	0,0017	0,029	0,221	0,400	-0,038	-0,675	6,912	-9,0000E-4	-0,016	0,165
0,450	0,006	-0,016	0,157	1,5000E-4	-3,750E-4	0,004	0,450	0,151	1,539	0,628	0,0036	0,037	0,015	0,450	-0,039	0,173	-3,770	-9,3750E-4	0,004	-0,090
0,500	0,006	0,000	0,157	1,5000E-4	0,000	0,004	0,500	0,223	1,272	-1,414	0,0053	0,030	-0,034	0,500	-0,020	-1,052	-25,133	-4,8750E-4	-0,025	-0,600
0,550	0,006	0,000	0,000	1,5000E-4	0,000	0,000	0,550	0,278	1,398	14,137	0,0066	0,033	0,337	0,550	-0,145	-2,340	15,865	-0,0035	-0,056	0,379
0,600	0,006	0,000	0,000	1,5000E-4	0,000	0,000	0,600	0,363	2,686	31,102	0,0087	0,064	0,742	0,600	-0,254	0,534	73,513	-0,0061	0,013	1,755
0,650	0,006	0,000	0,000	1,5000E-4	0,000	0,000	0,650	0,547	4,508	36,285	0,0130	0,108	0,866	0,650	-0,091	5,011	71,471	-0,0022	0,120	1,706
0,700	0,006	0,000	0,000	1,5000E-4	0,000	0,000	0,700	0,814	6,315	37,385	0,0194	0,151	0,893	0,700	0,247	7,681	51,679	0,0059	0,183	1,234
0,750	0,006	0,000	0,157	1,5000E-4	0,000	0,004	0,750	1,178	8,247	28,746	0,0281	0,197	0,686	0,750	0,677	10,179	66,445	0,0162	0,243	1,586
0,800	0,006	0,016	0,157	1,5000E-4	3,750E-4	0,004	0,800	1,638	9,189	4,555	0,0391	0,219	0,109	0,800	1,264	14,326	78,383	0,0302	0,342	1,871
