Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
0,000	0,053	4,869	17,671	0,0013	0,116	0,422
0,020	0,154	5,223	18,653	0,0037	0,125	0,445
0,040	0,262	5,616	18,653	0,0063	0,134	0,445
0,060	0,379	5,969	17,671	0,0090	0,142	0,422
0,080	0,501	6,322	16,690	0,0120	0,151	0,398
0,100	0,631	6,637	15,708	0,0151	0,158	0,375
0,120	0,767	6,951	15,708	0,0183	0,166	0,375
0,140	0,909	7,265	14,726	0,0217	0,173	0,352
0,160	1,057	7,540	13,744	0,0252	0,180	0,328
0,180	1,211	7,815	13,744	0,0289	0,187	0,328
0,200	1,370	8,090	12,763	0,0327	0,193	0,305
0,220	1,535	8,325	10,799	0,0366	0,199	0,258
0,240	1,703	8,522	10,799	0,0407	0,203	0,258
0,260	1,876	8,757	10,799	0,0448	0,209	0,258
0,280	2,053	8,954	8,836	0,0490	0,214	0,211
0,300	2,234	9,111	7,854	0,0533	0,217	0,188
0,320	2,417	9,268	7,854	0,0577	0,221	0,188
0,340	2,604	9,425	7,854	0,0622	0,225	0,188
0,360	2,794	9,582	5,890	0,0667	0,229	0,141
0,380	2,988	9,660	2,945	0,0713	0,231	0,070
0,400	3,181	9,700	2,945	0,0759	0,232	0,070
0,420	3,376	9,778	3,927	0,0806	0,233	0,094
0,440	3,572	9,857	1,963	0,0853	0,235	0,047
0,460	3,770	9,857	-0,982	0,0900	0,235	-0,023
0,480	3,966	9,817	-1,963	0,0947	0,234	-0,047
0,500	4,163	9,778	-1,963	0,0994	0,233	-0,047
0,520	4,357	9,739	-2,945	0,1040	0,233	-0,070
0,540	4,552	9,660	-4,909	0,1087	0,231	-0,117
0,560	4,744	9,543	-5,890	0,1133	0,228	-0,141
0,580	4,934	9,425	-6,872	0,1178	0,225	-0,164
0,600	5,121	9,268	-7,854	0,1223	0,221	-0,187
0,620	5,305	9,111	-9,817	0,1266	0,217	-0,234
0,640	5,485	8,875	-11,781	0,1310	0,212	-0,281
0,660	5,660	8,639	-11,781	0,1351	0,206	-0,281
0,680	5,831	8,404	-12,763	0,1392	0,201	-0,305
0,700	5,996	8,129	-13,744	0,1431	0,194	-0,328
0,720	6,156	7,854	-14,726	0,1470	0,187	-0,352
0,740	6,310	7,540	-16,690	0,1506	0,180	-0,398
0,760	6,458	7,186	-17,671	0,1542	0,172	-0,422
0,780	6,597	6,833	-17,671	0,1575	0,163	-0,422
0,800	6,731	6,480	-19,635	0,1607	0,155	-0,469
0,820	6,857	6,048	-21,598	0,1637	0,144	-0,516
0,840	6,973	5,616	-21,598	0,1665	0,134	-0,516
0,860	7,081	5,184	-22,580	0,1691	0,124	-0,539
0,880	7,180	4,712	-23,562	0,1714	0,112	-0,562
0,900	7,270	4,241	-23,562	0,1735	0,101	-0,562
0,920	7,350	3,770	-24,544	0,1755	0,090	-0,586
0,940	7,420	3,259	-25,525	0,1772	0,078	-0,609
0,960	7,480	2,749	-26,507	0,1786	0,066	-0,633
0,980	7,530	2,199	-27,489	0,1798	0,053	-0,656
1,000	7,568	1,649	-26,507	0,1807	0,039	-0,633
1,020	7,596	1,139	-27,489	0,1814	0,027	-0,656
1,040	7,614	0,550	-27,489	0,1818	0,013	-0,656
1,060	7,618	0,039	-25,525	0,1819	9,375E-4	-0,609
1,080	7,615	-0,471	-25,525	0,1818	-0,011	-0,609
1,100	7,600	-0,982	-24,544	0,1814	-0,023	-0,586
1,120	7,576	-1,453	-25,525	0,1809	-0,035	-0,609
1,140	7,541	-2,003	-25,525	0,1800	-0,048	-0,609
1,160	7,496	-2,474	-22,580	0,1790	-0,059	-0,539
1,180	7,442	-2,906	-23,562	0,1777	-0,069	-0,563
1,200	7,380	-3,416	-24,544	0,1762	-0,082	-0,586
1,220	7,306	-3,888	-23,562	0,1744	-0,093	-0,562
1,240	7,224	-4,359	-22,580	0,1725	-0,104	-0,539
1,260	7,131	-4,791	-20,617	0,1703	-0,114	-0,492
1,280	7,032	-5,184	-21,598	0,1679	-0,124	-0,516
1,300	6,924	-5,655	-21,598	0,1653	-0,135	-0,516
1,320	6,806	-6,048	-19,635	0,1625	-0,144	-0,469
1,340	6,682	-6,440	-19,635	0,1595	-0,154	-0,469
1,360	6,549	-6,833	-17,671	0,1563	-0,163	-0,422
1,380	6,409	-7,147	-15,708	0,1530	-0,171	-0,375
1,400	6,263	-7,461	-16,690	0,1495	-0,178	-0,398
1,420	6,110	-7,815	-16,690	0,1459	-0,187	-0,398
1,440	5,950	-8,129	-13,744	0,1421	-0,194	-0,328
1,460	5,785	-8,364	-12,763	0,1381	-0,200	-0,305
1,480	5,616	-8,639	-12,763	0,1341	-0,206	-0,305
1,500	5,440	-8,875	-10,799	0,1299	-0,212	-0,258
1,520	5,261	-9,071	-10,799	0,1256	-0,217	-0,258
1,540	5,077	-9,307	-9,817	0,1212	-0,222	-0,234
1,560	4,888	-9,464	-6,872	0,1167	-0,226	-0,164
1,580	4,698	-9,582	-6,872	0,1122	-0,229	-0,164
1,600	4,505	-9,739	-6,872	0,1076	-0,232	-0,164
1,620	4,309	-9,857	-4,909	0,1029	-0,235	-0,117
1,640	4,111	-9,935	-3,927	0,0981	-0,237	-0,094
1,660	3,911	-10,014	-2,945	0,0934	-0,239	-0,070
1,680	3,710	-10,053	-0,982	0,0886	-0,240	-0,023
1,700	3,509	-10,053	0,000	0,0838	-0,240	0,000
1,720	3,308	-10,053	0,000	0,0790	-0,240	0,000
1,740	3,107	-10,053	1,963	0,0742	-0,240	0,047
1,760	2,906	-9,975	3,927	0,0694	-0,238	0,094
1,780	2,708	-9,896	3,927	0,0647	-0,236	0,094
1,800	2,510	-9,817	4,909	0,0599	-0,234	0,117
1,820	2,315	-9,700	5,890	0,0553	-0,232	0,141
1,840	2,122	-9,582	6,872	0,0507	-0,229	0,164
1,860	1,932	-9,425	8,836	0,0461	-0,225	0,211
1,880	1,745	-9,228	9,817	0,0417	-0,220	0,234
1,900	1,563	-9,032	9,817	0,0373	-0,216	0,234
1,920	1,384	-8,836	9,817	0,0330	-0,211	0,234
1,940	1,210	-8,639	10,799	0,0289	-0,206	0,258
1,960	1,038	-8,404	13,744	0,0248	-0,201	0,328
1,980	0,873	-8,090	15,708	0,0209	-0,193	0,375
2,000	0,715	-7,775	14,726	0,0171	-0,186	0,352
2,020	0,562	-7,501	14,726	0,0134	-0,179	0,352
2,040	0,415	-7,186	16,690	0,0099	-0,172	0,398
2,060	0,275	-6,833	17,671	0,0066	-0,163	0,422
2,080	0,141	-6,480	17,671	0,0034	-0,155	0,422
2,100	0,016	-6,126	17,671	3,7500E-4	-0,146	0,422
