Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2
Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²)
0,050;0,000;;;0,0000;;;0,050;0,000;;;0,0000;;
0,100;0,000;0,000;;0,0000;0,000;;0,100;0,000;0,000;;0,0000;0,000;
0,150;0,000;0,000;0,000;0,0000;0,000;0,000;0,150;0,000;0,000;0,000;0,0000;0,000;0,000
0,200;0,000;0,000;0,000;0,0000;0,000;0,000;0,200;0,000;0,000;0,000;0,0000;0,000;0,000
0,250;0,000;0,000;0,000;0,0000;0,000;0,000;0,250;0,000;0,000;0,000;0,0000;0,000;0,000
0,300;0,000;0,000;0,000;0,0000;0,000;0,000;0,300;0,000;0,000;0,000;0,0000;0,000;0,000
0,350;0,000;0,000;0,000;0,0000;0,000;0,000;0,350;0,000;0,000;0,000;0,0000;0,000;0,000
0,400;0,000;0,000;1,885;0,0000;0,000;0,045;0,400;0,000;0,000;0,000;0,0000;0,000;0,000
0,450;0,000;0,188;13,195;0,0000;0,005;0,315;0,450;0,000;0,000;0,000;0,0000;0,000;0,000
0,500;0,019;1,319;34,086;4,5000E-4;0,031;0,814;0,500;0,000;0,000;0,000;0,0000;0,000;0,000
0,550;0,132;3,597;51,836;0,0031;0,086;1,237;0,550;0,000;0,000;0,157;0,0000;0,000;0,004
0,600;0,379;6,503;60,004;0,0090;0,155;1,433;0,600;0,000;0,016;0,157;0,0000;3,750E-4;0,004
0,650;0,782;9,598;56,706;0,0187;0,229;1,354;0,650;0,002;0,016;-0,157;3,7500E-5;3,750E-4;-0,004
0,700;1,338;12,174;41,783;0,0320;0,291;0,998;0,700;0,002;0,000;-0,157;3,7500E-5;0,000;-0,004
0,750;2,000;13,776;28,746;0,0477;0,329;0,686;0,750;0,002;0,000;0,000;3,7500E-5;0,000;0,000
0,800;2,716;15,048;25,133;0,0648;0,359;0,600;0,800;0,002;0,000;0,000;3,7500E-5;0,000;0,000
0,850;3,504;16,289;17,750;0,0837;0,389;0,424;0,850;0,002;0,000;0,000;3,7500E-5;0,000;0,000
0,900;4,345;16,823;3,613;0,1037;0,402;0,086;0,900;0,002;0,000;1,100;3,7500E-5;0,000;0,026
0,950;5,187;16,650;-7,540;0,1238;0,398;-0,180;0,950;0,002;0,110;14,608;3,7500E-5;0,003;0,349
1,000;6,010;16,069;-16,179;0,1435;0,384;-0,386;1,000;0,013;1,461;57,491;3,0000E-4;0,035;1,372
1,050;6,794;15,033;-24,662;0,1622;0,359;-0,589;1,050;0,148;5,859;94,876;0,0035;0,140;2,265
1,100;7,513;13,603;-34,715;0,1794;0,325;-0,829;1,100;0,598;10,948;81,053;0,0143;0,261;1,935
1,150;8,154;11,561;-44,296;0,1947;0,276;-1,057;1,150;1,243;13,964;55,292;0,0297;0,333;1,320
1,200;8,669;9,173;-40,527;0,2070;0,219;-0,967;1,200;1,995;16,478;48,538;0,0476;0,393;1,159
1,250;9,071;7,508;-25,604;0,2166;0,179;-0,611;1,250;2,890;18,818;39,113;0,0690;0,449;0,934
1,300;9,420;6,613;-11,624;0,2249;0,158;-0,278;1,300;3,877;20,389;32,201;0,0925;0,487;0,769
1,350;9,733;6,346;4,869;0,2323;0,151;0,116;1,350;4,929;22,038;35,500;0,1177;0,526;0,847
1,400;10,055;7,100;22,305;0,2400;0,169;0,533;1,400;6,081;23,939;30,473;0,1452;0,571;0,728
1,450;10,443;8,577;29,845;0,2493;0,205;0,713;1,450;7,323;25,086;7,697;0,1748;0,599;0,184
1,500;10,912;10,085;22,462;0,2605;0,241;0,536;1,500;8,589;24,709;-27,489;0,2051;0,590;-0,656
1,550;11,451;10,823;3,299;0,2734;0,258;0,079;1,550;9,794;22,337;-60,162;0,2338;0,533;-1,436
1,600;11,995;10,414;-14,765;0,2863;0,249;-0,352;1,600;10,823;18,692;-71,628;0,2584;0,446;-1,710
1,650;12,493;9,346;-22,934;0,2982;0,223;-0,547;1,650;11,663;15,174;-70,529;0,2784;0,362;-1,684
1,700;12,929;8,121;-27,018;0,3087;0,194;-0,645;1,700;12,340;11,640;-70,686;0,2946;0,278;-1,687
1,750;13,305;6,644;-35,500;0,3176;0,159;-0,848;1,750;12,827;8,105;-60,633;0,3062;0,194;-1,448
1,800;13,594;4,571;-40,055;0,3245;0,109;-0,956;1,800;13,151;5,576;-40,998;0,3139;0,133;-0,979
1,850;13,762;2,639;-24,662;0,3285;0,063;-0,589;1,850;13,385;4,006;-27,803;0,3195;0,096;-0,664
1,900;13,858;2,105;-0,628;0,3308;0,050;-0,015;1,900;13,551;2,796;-12,252;0,3235;0,067;-0,293
1,950;13,972;2,576;6,126;0,3336;0,061;0,146;1,950;13,664;2,780;16,179;0,3262;0,066;0,386
2,000;14,115;2,717;1,885;0,3370;0,065;0,045;2,000;13,829;4,414;35,500;0,3301;0,105;0,848
2,050;14,244;2,765;10,210;0,3400;0,066;0,244;2,050;14,106;6,330;28,274;0,3367;0,151;0,675
2,100;14,392;3,738;12,566;0,3436;0,089;0,300;2,100;14,462;7,241;-17,593;0,3453;0,173;-0,420
2,150;14,618;4,021;-29,217;0,3490;0,096;-0,698;2,150;14,830;4,571;-79,011;0,3540;0,109;-1,886
2,200;14,794;0,817;-47,281;0,3532;0,020;-1,129;2,200;14,919;-0,660;-62,518;0,3562;-0,016;-1,493
2,250;14,700;-0,707;-6,440;0,3509;-0,017;-0,154;2,250;14,764;-1,681;20,263;0,3525;-0,040;0,484
2,300;14,723;0,173;9,739;0,3515;0,004;0,232;2,300;14,751;1,367;32,516;0,3522;0,033;0,776
2,350;14,717;0,267;3,142;0,3513;0,006;0,075;2,350;14,901;1,571;-14,137;0,3557;0,038;-0,337
2,400;14,750;0,487;-1,414;0,3521;0,012;-0,034;2,400;14,908;-0,047;-17,122;0,3559;-0,001;-0,409
2,450;14,765;0,126;-4,712;0,3525;0,003;-0,112;2,450;14,896;-0,141;0,785;0,3556;-0,003;0,019
2,500;14,762;0,016;0,314;0,3524;3,750E-4;0,007;2,500;14,894;0,031;2,670;0,3556;7,500E-4;0,064
2,550;14,767;0,157;-0,157;0,3525;0,004;-0,004;2,550;14,899;0,126;2,042;0,3557;0,003;0,049
2,600;14,778;0,000;-13,509;0,3528;0,000;-0,323;2,600;14,907;0,236;0,628;0,3559;0,006;0,015
2,650;14,767;-1,194;-53,407;0,3525;-0,029;-1,275;2,650;14,923;0,188;0,157;0,3562;0,005;0,004
2,700;14,659;-5,341;-112,626;0,3500;-0,128;-2,689;2,700;14,926;0,251;1,100;0,3563;0,006;0,026
2,750;14,233;-12,456;-147,812;0,3398;-0,297;-3,529;2,750;14,948;0,298;-9,896;0,3568;0,007;-0,236
2,800;13,413;-20,122;-147,655;0,3202;-0,480;-3,525;2,800;14,956;-0,738;-42,726;0,3570;-0,018;-1,020
2,850;12,221;-27,222;-133,989;0,2918;-0,650;-3,199;2,850;14,874;-3,974;-93,934;0,3551;-0,095;-2,242
2,900;10,691;-33,521;-114,825;0,2552;-0,800;-2,741;2,900;14,558;-10,132;-138,073;0,3475;-0,242;-3,296
2,950;8,869;-38,704;-92,677;0,2117;-0,924;-2,213;2,950;13,861;-17,781;-149,697;0,3309;-0,424;-3,574
3,000;6,820;-42,789;-70,843;0,1628;-1,021;-1,691;3,000;12,780;-25,101;-138,858;0,3051;-0,599;-3,315
3,050;4,590;-45,789;-45,553;0,1096;-1,093;-1,088;3,050;11,351;-31,667;-121,423;0,2710;-0,756;-2,899
3,100;2,242;-47,344;-17,907;0,0535;-1,130;-0,427;3,100;9,613;-37,244;-100,374;0,2295;-0,889;-2,396
3,150;-0,145;-47,579;9,111;-0,0034;-1,136;0,218;3,150;7,626;-41,705;-78,226;0,1821;-0,996;-1,867
3,200;-2,516;-46,433;38,170;-0,0601;-1,108;0,911;3,200;5,443;-45,066;-53,721;0,1299;-1,076;-1,283
3,250;-4,788;-43,762;65,345;-0,1143;-1,045;1,560;3,250;3,120;-47,077;-26,546;0,0745;-1,124;-0,634
3,300;-6,893;-39,898;89,064;-0,1645;-0,952;2,126;3,300;0,735;-47,721;0,314;0,0175;-1,139;0,008
3,350;-8,778;-34,856;112,626;-0,2095;-0,832;2,689;3,350;-1,652;-47,045;29,060;-0,0395;-1,123;0,694
3,400;-10,378;-28,636;132,732;-0,2478;-0,684;3,169;3,400;-3,969;-44,815;57,805;-0,0948;-1,070;1,380
3,450;-11,641;-21,583;146,712;-0,2779;-0,515;3,503;3,450;-6,134;-41,265;82,624;-0,1464;-0,985;1,973
3,500;-12,537;-13,964;156,923;-0,2993;-0,333;3,746;3,500;-8,096;-36,552;106,814;-0,1933;-0,873;2,550
3,550;-13,038;-5,890;161,792;-0,3112;-0,141;3,862;3,550;-9,789;-30,583;128,962;-0,2337;-0,730;3,079
3,600;-13,126;2,215;158,022;-0,3133;0,053;3,772;3,600;-11,154;-23,656;144,513;-0,2663;-0,565;3,450
3,650;-12,816;9,912;149,069;-0,3060;0,237;3,559;3,650;-12,155;-16,132;155,352;-0,2902;-0,385;3,709
3,700;-12,134;17,122;138,544;-0,2897;0,409;3,308;3,700;-12,767;-8,121;161,635;-0,3048;-0,194;3,859
3,750;-11,104;23,766;125,978;-0,2651;0,567;3,007;3,750;-12,967;0,031;159,436;-0,3096;7,500E-4;3,806
3,800;-9,758;29,719;109,956;-0,2329;0,709;2,625;3,800;-12,764;7,823;151,268;-0,3047;0,187;3,611
3,850;-8,132;34,762;88,750;-0,1941;0,830;2,119;3,850;-12,185;15,158;141,372;-0,2909;0,362;3,375
3,900;-6,282;38,594;65,502;-0,1500;0,921;1,564;3,900;-11,248;21,960;129,591;-0,2685;0,524;3,094
3,950;-4,273;41,312;42,412;-0,1020;0,986;1,013;3,950;-9,989;28,117;114,511;-0,2385;0,671;2,734
4,000;-2,150;42,836;16,022;-0,0513;1,023;0,382;4,000;-8,437;33,411;94,248;-0,2014;0,798;2,250
4,050;0,011;42,914;-10,053;2,6250E-4;1,024;-0,240;4,050;-6,648;37,542;71,471;-0,1587;0,896;1,706
4,100;2,141;41,830;-32,830;0,0511;0,999;-0,784;4,100;-4,683;40,558;48,695;-0,1118;0,968;1,163
4,150;4,194;39,631;-56,392;0,1001;0,946;-1,346;4,150;-2,592;42,412;23,091;-0,0619;1,013;0,551
4,200;6,104;36,191;-78,540;0,1457;0,864;-1,875;4,200;-0,441;42,867;-3,456;-0,0105;1,023;-0,083
4,250;7,813;31,777;-95,662;0,1865;0,759;-2,284;4,250;1,695;42,066;-27,175;0,0405;1,004;-0,649
4,300;9,282;26,625;-110,584;0,2216;0,636;-2,640;4,300;3,765;40,150;-50,266;0,0899;0,959;-1,200
4,350;10,476;20,719;-123,936;0,2501;0,495;-2,959;4,350;5,710;37,039;-72,728;0,1363;0,884;-1,736
4,400;11,354;14,231;-133,047;0,2711;0,340;-3,176;4,400;7,469;32,877;-91,106;0,1783;0,785;-2,175
4,450;11,899;7,414;-137,602;0,2841;0,177;-3,285;4,450;8,998;27,929;-106,343;0,2148;0,667;-2,539
4,500;12,095;0,471;-137,445;0,2888;0,011;-3,281;4,500;10,262;22,242;-120,166;0,2450;0,531;-2,869
4,550;11,946;-6,330;-133,047;0,2852;-0,151;-3,176;4,550;11,222;15,912;-130,533;0,2679;0,380;-3,116
4,600;11,462;-12,833;-126,135;0,2736;-0,306;-3,011;4,600;11,853;9,189;-136,188;0,2830;0,219;-3,251
4,650;10,663;-18,944;-116,396;0,2546;-0,452;-2,779;4,650;12,141;2,293;-137,131;0,2898;0,055;-3,274
