Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
0,000	0,38		
0,020	0,38	-0,21	
0,040	0,37	-0,21	-0,10
0,060	0,37	-0,21	-0,22
0,080	0,37	-0,22	-0,22
0,100	0,36	-0,22	-0,11
0,120	0,36	-0,22	-3,26E-14
0,140	0,35	-0,22	-9,99E-14
0,160	0,35	-0,22	6,52E-14
0,180	0,34	-0,22	9,99E-14
0,200	0,34	-0,22	-0,01
0,220	0,33	-0,22	0,10
0,240	0,33	-0,22	0,33
0,260	0,33	-0,21	0,22
0,280	0,32	-0,21	0,10
0,300	0,32	-0,21	0,22
0,320	0,31	-0,20	0,10
0,340	0,31	-0,20	0,21
0,360	0,31	-0,19	0,33
0,380	0,30	-0,19	0,21
0,400	0,30	-0,19	0,32
0,420	0,29	-0,18	0,43
0,440	0,29	-0,17	0,43
0,460	0,29	-0,16	0,54
0,480	0,28	-0,15	0,54
0,500	0,28	-0,14	0,43
0,520	0,28	-0,13	0,43
0,540	0,28	-0,12	0,43
0,560	0,27	-0,11	0,43
0,580	0,27	-0,10	0,43
0,600	0,27	-0,10	0,54
0,620	0,27	-0,08	0,54
0,640	0,27	-0,07	0,53
0,660	0,26	-0,06	0,65
0,680	0,26	-0,05	0,64
0,700	0,26	-0,04	0,76
0,720	0,26	-0,02	0,65
0,740	0,26	-0,01	0,42
0,760	0,26	-6,56E-4	0,64
0,780	0,26	0,02	0,65
0,800	0,26	0,03	0,43
0,820	0,26	0,03	0,43
0,840	0,26	0,04	0,53
0,860	0,26	0,06	0,65
0,880	0,27	0,07	0,54
0,900	0,27	0,08	0,53
0,920	0,27	0,09	0,64
0,940	0,27	0,10	0,65
0,960	0,27	0,12	0,54
0,980	0,28	0,12	0,54
1,000	0,28	0,14	0,55
1,020	0,28	0,15	0,21
1,040	0,28	0,15	0,20
1,060	0,29	0,15	0,54
1,080	0,29	0,17	0,43
1,100	0,29	0,17	0,32
1,120	0,30	0,18	0,43
1,140	0,30	0,19	0,32
1,160	0,30	0,19	0,32
1,180	0,31	0,20	0,33
1,200	0,31	0,21	0,21
1,220	0,32	0,21	0,22
1,240	0,32	0,21	0,11
1,260	0,33	0,21	-0,01
1,280	0,33	0,21	0,11
1,300	0,33	0,22	0,11
1,320	0,34	0,22	-0,01
1,340	0,34	0,22	0,11
1,360	0,35	0,22	0,11
1,380	0,35	0,22	3,47E-14
1,400	0,36	0,22	3,12E-14
1,420	0,36	0,22	0,01
1,440	0,37	0,22	-0,10
1,460	0,37	0,22	-0,32
1,480	0,37	0,21	-0,33
1,500	0,38	0,21	-0,21
1,520	0,38	0,20	-0,22
1,540	0,39	0,20	-0,10
1,560	0,39	0,20	-0,20
1,580	0,39	0,19	-0,43
1,600	0,40	0,18	-0,43
1,620	0,40	0,17	-0,44
1,640	0,40	0,16	-0,33
1,660	0,41	0,16	-0,21
1,680	0,41	0,16	-0,30
1,700	0,41	0,15	-0,64
1,720	0,42	0,13	-0,66
1,740	0,42	0,12	-0,32
1,760	0,42	0,12	-0,42
1,780	0,42	0,10	-0,54
1,800	0,43	0,10	-0,42
1,820	0,43	0,09	-0,53
1,840	0,43	0,07	-0,65
1,860	0,43	0,06	-0,54
1,880	0,43	0,05	-0,42
1,900	0,43	0,04	-0,64
1,920	0,43	0,03	-0,77
1,940	0,43	0,01	-0,54
1,960	0,43	0,01	-0,54
1,980	0,43	-0,01	-0,54
2,000	0,43	-0,02	-0,53
2,020	0,43	-0,03	-0,65
2,040	0,43	-0,04	-0,54
2,060	0,43	-0,05	-0,54
2,080	0,43	-0,06	-0,54
2,100	0,43	-0,07	-0,54
2,120	0,43	-0,09	-0,54
2,140	0,43	-0,09	-0,42
2,160	0,42	-0,10	-0,65
2,180	0,42	-0,12	-0,67
2,200	0,42	-0,13	-0,32
2,220	0,42	-0,13	-0,42
2,240	0,41	-0,15	-0,55
2,260	0,41	-0,15	-0,32
2,280	0,41	-0,16	-0,32
2,300	0,40	-0,17	-0,32
2,320	0,40	-0,17	-0,31
2,340	0,40	-0,18	-0,54
2,360	0,39	-0,19	-0,44
2,380	0,39	-0,20	-0,22
2,400	0,39	-0,20	-0,22
2,420	0,38	-0,21	-0,22
2,440	0,38	-0,21	-0,22
2,460	0,37	-0,21	-0,22
2,480	0,37	-0,22	-0,11
2,500	0,36	-0,22	0,01
2,520	0,36	-0,22	-0,11
2,540	0,36	-0,22	-0,11
2,560	0,35	-0,22	-0,01
2,580	0,35	-0,22	0,11
2,600	0,34	-0,22	0,12
2,620	0,34	-0,22	-0,11
2,640	0,33	-0,22	-0,01
2,660	0,33	-0,22	0,22
2,680	0,32	-0,22	0,11
2,700	0,32	-0,22	0,10
2,720	0,32	-0,21	0,32
2,740	0,31	-0,20	0,32
2,760	0,31	-0,20	0,32
2,780	0,30	-0,19	0,33
2,800	0,30	-0,19	0,21
2,820	0,30	-0,18	0,32
2,840	0,29	-0,17	0,32
2,860	0,29	-0,17	0,32
2,880	0,29	-0,16	0,43
2,900	0,28	-0,15	0,43
2,920	0,28	-0,14	0,53
2,940	0,28	-0,13	0,65
2,960	0,28	-0,12	0,43
2,980	0,27	-0,11	0,42
3,000	0,27	-0,10	0,65
3,020	0,27	-0,09	0,54
3,040	0,27	-0,08	0,43
3,060	0,27	-0,07	0,42
3,080	0,26	-0,06	0,65
3,100	0,26	-0,04	0,65
3,120	0,26	-0,03	0,42
3,140	0,26	-0,03	0,64
3,160	0,26	-0,01	0,76
3,180	0,26	0,00	0,54
3,200	0,26	0,01	0,53
3,220	0,26	0,03	0,76
3,240	0,26	0,04	0,66
3,260	0,26	0,05	0,32
3,280	0,27	0,06	0,42
3,300	0,27	0,07	0,64
3,320	0,27	0,08	0,65
3,340	0,27	0,09	0,54
3,360	0,27	0,10	0,43
3,380	0,27	0,11	0,54
3,400	0,28	0,12	0,54
3,420	0,28	0,13	0,54
3,440	0,28	0,15	0,55
3,460	0,28	0,15	0,32
3,480	0,29	0,16	0,32
3,500	0,29	0,17	0,43
3,520	0,29	0,18	0,43
3,540	0,30	0,18	0,33
3,560	0,30	0,19	0,21
3,580	0,31	0,19	0,21
3,600	0,31	0,20	0,32
3,620	0,31	0,21	0,33
3,640	0,32	0,21	0,21
3,660	0,32	0,21	0,22
3,680	0,33	0,22	0,11
3,700	0,33	0,22	0,11
3,720	0,34	0,22	0,11
3,740	0,34	0,22	-6,94E-14
3,760	0,34	0,22	0,00
3,780	0,35	0,22	3,47E-14
3,800	0,35	0,22	0,01
3,820	0,36	0,22	-0,11
3,840	0,36	0,22	-0,11
3,860	0,37	0,22	0,01
3,880	0,37	0,22	-0,10
3,900	0,37	0,22	-0,21
3,920	0,38	0,21	-0,32
3,940	0,38	0,20	-0,33
3,960	0,39	0,20	-0,10
3,980	0,39	0,20	-0,20
4,000	0,40	0,19	-0,54
4,020	0,40	0,18	-0,55
4,040	0,40	0,17	-0,33
4,060	0,41	0,16	-0,21
4,080	0,41	0,16	-0,32
4,100	0,41	0,15	-0,32
4,120	0,41	0,15	-0,30
4,140	0,42	0,14	-0,64
4,160	0,42	0,12	-0,66
4,180	0,42	0,11	-0,42
4,200	0,42	0,10	-0,54
4,220	0,43	0,09	-0,54
4,240	0,43	0,08	-0,53
4,260	0,43	0,07	-0,66
4,280	0,43	0,06	-0,43
4,300	0,43	0,05	-0,41
4,320	0,43	0,04	-0,76
4,340	0,43	0,02	-0,66
4,360	0,43	0,01	-0,42
4,380	0,43	0,01	-0,53
4,400	0,43	-0,01	-0,65
4,420	0,43	-0,02	-0,53
