Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
0,000	0,44		
0,020	0,44	0,02	
0,040	0,44	0,02	-0,52
0,060	0,44	8,33E-4	-0,76
0,080	0,44	-0,01	-0,65
0,100	0,44	-0,03	-0,54
0,120	0,44	-0,03	-0,53
0,140	0,44	-0,05	-0,65
0,160	0,44	-0,06	-0,54
0,180	0,44	-0,07	-0,42
0,200	0,44	-0,08	-0,52
0,220	0,44	-0,09	-0,76
0,240	0,43	-0,11	-0,66
0,260	0,43	-0,12	-0,42
0,280	0,43	-0,12	-0,53
0,300	0,43	-0,14	-0,65
0,320	0,42	-0,15	-0,55
0,340	0,42	-0,16	-0,32
0,360	0,42	-0,16	-0,32
0,380	0,42	-0,17	-0,44
0,400	0,41	-0,18	-0,32
0,420	0,41	-0,18	-0,42
0,440	0,40	-0,20	-0,55
0,460	0,40	-0,21	-0,33
0,480	0,40	-0,21	-0,21
0,500	0,39	-0,21	-0,32
0,520	0,39	-0,22	-0,44
0,540	0,38	-0,23	-0,22
0,560	0,38	-0,23	-0,10
0,580	0,37	-0,24	-0,22
0,600	0,37	-0,24	-0,11
0,620	0,36	-0,24	8,60E-14
0,640	0,36	-0,24	-1,39E-13
0,660	0,35	-0,24	-3,47E-14
0,680	0,35	-0,24	0,00
0,700	0,34	-0,24	0,01
0,720	0,34	-0,24	-0,11
0,740	0,33	-0,25	-0,01
0,760	0,33	-0,24	0,22
0,780	0,33	-0,24	0,11
0,800	0,32	-0,24	0,10
0,820	0,32	-0,23	0,32
0,840	0,31	-0,22	0,44
0,860	0,31	-0,22	0,33
0,880	0,30	-0,21	0,22
0,900	0,30	-0,21	0,21
0,920	0,29	-0,20	0,32
0,940	0,29	-0,19	0,44
0,960	0,29	-0,19	0,32
0,980	0,28	-0,18	0,31
1,000	0,28	-0,17	0,54
1,020	0,28	-0,16	0,54
1,040	0,27	-0,15	0,43
1,060	0,27	-0,14	0,53
1,080	0,27	-0,13	0,65
1,100	0,26	-0,12	0,54
1,120	0,26	-0,11	0,53
1,140	0,26	-0,10	0,65
1,160	0,26	-0,08	0,54
1,180	0,26	-0,07	0,43
1,200	0,26	-0,06	0,53
1,220	0,25	-0,05	0,65
1,240	0,25	-0,04	0,65
1,260	0,25	-0,03	0,65
1,280	0,25	-0,01	0,65
1,300	0,25	-4,74E-4	0,64
1,320	0,25	0,01	0,64
1,340	0,25	0,03	0,64
1,360	0,25	0,04	0,64
1,380	0,25	0,05	0,65
1,400	0,26	0,06	0,54
1,420	0,26	0,07	0,43
1,440	0,26	0,08	0,53
1,460	0,26	0,09	0,65
1,480	0,26	0,11	0,54
1,500	0,26	0,12	0,53
1,520	0,27	0,13	0,65
1,540	0,27	0,14	0,54
1,560	0,27	0,15	0,43
1,580	0,28	0,16	0,54
1,600	0,28	0,17	0,55
1,620	0,28	0,18	0,32
1,640	0,29	0,18	0,32
1,660	0,29	0,19	0,33
1,680	0,29	0,20	0,21
1,700	0,30	0,20	0,32
1,720	0,30	0,21	0,43
1,740	0,31	0,22	0,33
1,760	0,31	0,22	0,21
1,780	0,32	0,23	0,33
1,800	0,32	0,24	0,22
1,820	0,32	0,24	-0,01
1,840	0,33	0,24	0,21
1,860	0,33	0,24	0,23
1,880	0,34	0,25	-0,11
1,900	0,34	0,24	-0,11
1,920	0,35	0,24	3,33E-14
1,940	0,35	0,24	1,39E-15
1,960	0,36	0,24	0,01
1,980	0,36	0,24	-0,10
2,000	0,37	0,24	-0,22
2,020	0,37	0,23	-0,11
2,040	0,38	0,23	0,01
2,060	0,38	0,23	-0,20
2,080	0,39	0,22	-0,44
2,100	0,39	0,21	-0,21
2,120	0,40	0,22	-0,20
2,140	0,40	0,21	-0,54
2,160	0,40	0,19	-0,54
2,180	0,41	0,19	-0,44
2,200	0,41	0,18	-0,33
2,220	0,41	0,17	-0,10
2,240	0,42	0,17	-0,19
2,260	0,42	0,16	-0,64
2,280	0,42	0,15	-0,74
2,300	0,43	0,13	-0,86
2,320	0,43	0,11	-0,94
2,340	0,43	0,10	0,44
2,360	0,43	0,13	0,43
2,380	0,44	0,11	-1,42
2,400	0,44	0,07	-1,12
2,420	0,44	0,07	-0,43
2,440	0,44	0,06	-0,44
2,460	0,44	0,05	-0,29
2,480	0,44	0,04	-0,73
2,500	0,44	0,02	-1,10
2,520	0,44	5,55E-4	-0,78
2,540	0,44	-0,01	-0,32
2,560	0,44	-0,01	-0,27
2,580	0,44	-0,02	-1,08
2,600	0,44	-0,06	-1,04
2,620	0,44	-0,06	0,25
2,640	0,44	-0,05	-0,28
2,660	0,44	-0,07	-1,00
2,680	0,44	-0,09	-0,42
2,700	0,44	-0,09	-0,63
2,720	0,43	-0,11	-1,00
2,740	0,43	-0,13	-0,56
