Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
0,000	0,44		
0,020	0,45	0,12	
0,040	0,45	0,13	-0,20
0,060	0,45	0,12	-0,42
0,080	0,45	0,11	-0,53
0,100	0,46	0,10	-0,66
0,120	0,46	0,08	-0,44
0,140	0,46	0,08	-0,30
0,160	0,46	0,07	-0,64
0,180	0,46	0,05	-0,77
0,200	0,46	0,04	-0,54
0,220	0,46	0,03	-0,43
0,240	0,46	0,02	-0,42
0,260	0,46	0,01	-0,52
0,280	0,46	0,00	-0,75
0,300	0,46	-0,02	-0,77
0,320	0,46	-0,03	-0,55
0,340	0,46	-0,04	-0,31
0,360	0,46	-0,04	-0,52
0,380	0,46	-0,06	-0,77
0,400	0,46	-0,07	-0,55
0,420	0,46	-0,08	-0,43
0,440	0,46	-0,09	-0,42
0,460	0,45	-0,10	-0,65
0,480	0,45	-0,12	-0,55
0,500	0,45	-0,12	-0,31
0,520	0,45	-0,13	-0,54
0,540	0,45	-0,14	-0,55
0,560	0,44	-0,15	-0,43
0,580	0,44	-0,16	-0,43
0,600	0,44	-0,17	-0,44
0,620	0,43	-0,18	-0,33
0,640	0,43	-0,18	-0,21
0,660	0,43	-0,18	-0,32
0,680	0,42	-0,19	-0,44
0,700	0,42	-0,20	-0,34
0,720	0,41	-0,21	-0,11
0,740	0,41	-0,21	0,01
0,760	0,41	-0,21	-0,20
0,780	0,40	-0,21	-0,44
0,800	0,40	-0,22	-0,23
0,820	0,39	-0,22	0,01
0,840	0,39	-0,22	-0,11
0,860	0,38	-0,23	-0,11
0,880	0,38	-0,23	1,60E-14
0,900	0,37	-0,23	-0,01
0,920	0,37	-0,23	0,11
0,940	0,36	-0,22	0,11
0,960	0,36	-0,22	-0,01
0,980	0,36	-0,22	0,10
1,000	0,35	-0,22	0,22
1,020	0,35	-0,22	0,11
1,040	0,34	-0,22	0,10
1,060	0,34	-0,21	0,32
1,080	0,33	-0,20	0,33
1,100	0,33	-0,20	0,21
1,120	0,33	-0,19	0,32
1,140	0,32	-0,19	0,32
1,160	0,32	-0,18	0,32
1,180	0,32	-0,17	0,43
1,200	0,31	-0,16	0,43
1,220	0,31	-0,16	0,43
1,240	0,31	-0,15	0,43
1,260	0,30	-0,14	0,54
1,280	0,30	-0,13	0,54
1,300	0,30	-0,12	0,43
1,320	0,30	-0,11	0,43
1,340	0,29	-0,10	0,43
1,360	0,29	-0,09	0,53
1,380	0,29	-0,08	0,65
1,400	0,29	-0,06	0,54
1,420	0,29	-0,06	0,53
1,440	0,29	-0,04	0,65
1,460	0,29	-0,03	0,65
1,480	0,29	-0,02	0,65
1,500	0,29	0,00	0,54
1,520	0,28	0,00	0,53
1,540	0,29	0,02	0,65
1,560	0,29	0,03	0,54
1,580	0,29	0,04	0,54
1,600	0,29	0,05	0,54
1,620	0,29	0,06	0,42
1,640	0,29	0,07	0,64
1,660	0,29	0,09	0,76
1,680	0,29	0,10	0,54
1,700	0,30	0,11	0,42
1,720	0,30	0,12	0,54
1,740	0,30	0,13	0,54
1,760	0,30	0,14	0,43
1,780	0,31	0,15	0,43
1,800	0,31	0,15	0,43
1,820	0,31	0,16	0,43
1,840	0,31	0,17	0,32
1,860	0,32	0,18	0,32
1,880	0,32	0,18	0,32
1,900	0,33	0,19	0,32
1,920	0,33	0,20	0,43
1,940	0,33	0,21	0,33
1,960	0,34	0,21	0,21
1,980	0,34	0,21	0,21
2,000	0,35	0,22	0,22
2,020	0,35	0,22	0,11
2,040	0,36	0,22	-0,01
2,060	0,36	0,22	0,10
2,080	0,36	0,23	0,23
2,100	0,37	0,23	0,01
2,120	0,37	0,23	-0,12
2,140	0,38	0,23	0,11
2,160	0,38	0,23	0,12
2,180	0,39	0,23	-0,10
2,200	0,39	0,23	-0,21
2,220	0,40	0,22	-0,21
2,240	0,40	0,22	-0,33
2,260	0,40	0,21	-0,23
2,280	0,41	0,21	0,01
2,300	0,41	0,21	-0,20
2,320	0,42	0,20	-0,44
2,340	0,42	0,19	-0,34
2,360	0,43	0,19	-0,11
2,380	0,43	0,19	-0,09
2,400	0,43	0,19	-0,42
2,420	0,44	0,17	-0,66
2,440	0,44	0,16	-0,44
2,460	0,44	0,16	-0,31
2,480	0,45	0,15	-0,54
2,500	0,45	0,13	-0,54
2,520	0,45	0,13	-0,54
2,540	0,45	0,11	-0,43
2,560	0,46	0,11	-0,42
2,580	0,46	0,10	-0,65
2,600	0,46	0,08	-0,54
2,620	0,46	0,07	-0,43
2,640	0,46	0,07	-0,42
2,660	0,46	0,06	-0,64
2,680	0,46	0,04	-0,76
2,700	0,47	0,03	-0,64
2,720	0,47	0,01	-0,65
2,740	0,47	5,82E-4	-0,54
2,760	0,47	-0,01	-0,43
