Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
0,000	0,35		
0,020	0,34	-0,22	
0,040	0,34	-0,22	0,22
0,060	0,34	-0,22	0,21
0,080	0,33	-0,21	0,43
0,100	0,33	-0,20	0,55
0,120	0,32	-0,19	0,32
0,140	0,32	-0,19	0,32
0,160	0,32	-0,18	0,43
0,180	0,31	-0,17	0,43
0,200	0,31	-0,16	0,43
0,220	0,31	-0,15	0,43
0,240	0,30	-0,14	0,43
0,260	0,30	-0,13	0,43
0,280	0,30	-0,13	0,53
0,300	0,30	-0,11	0,65
0,320	0,29	-0,10	0,65
0,340	0,29	-0,09	0,65
0,360	0,29	-0,07	0,54
0,380	0,29	-0,07	0,53
0,400	0,29	-0,05	0,65
0,420	0,29	-0,04	0,65
0,440	0,29	-0,03	0,54
0,460	0,29	-0,02	0,42
0,480	0,29	-0,01	0,64
0,500	0,29	0,01	0,76
0,520	0,29	0,02	0,54
0,540	0,29	0,03	0,53
0,560	0,29	0,04	0,75
0,580	0,29	0,06	0,76
0,600	0,29	0,07	0,65
0,620	0,29	0,09	0,54
0,640	0,29	0,09	0,43
0,660	0,29	0,10	0,54
0,680	0,30	0,12	0,43
0,700	0,30	0,12	0,31
0,720	0,30	0,13	0,53
0,740	0,30	0,14	0,65
0,760	0,31	0,15	0,54
0,780	0,31	0,16	0,43
0,800	0,31	0,17	0,43
0,820	0,32	0,18	0,43
0,840	0,32	0,19	0,44
0,860	0,32	0,20	0,22
0,880	0,33	0,20	0,10
0,900	0,33	0,20	0,32
0,920	0,34	0,21	0,33
0,940	0,34	0,21	0,11
0,960	0,35	0,21	0,10
0,980	0,35	0,22	0,33
1,000	0,35	0,23	0,23
1,020	0,36	0,23	-0,01
1,040	0,36	0,23	0,22
1,060	0,37	0,24	0,12
1,080	0,37	0,23	-0,23
1,100	0,38	0,23	2,90E-4
1,120	0,38	0,23	0,01
1,140	0,39	0,23	-0,22
1,160	0,39	0,22	-0,11
1,180	0,40	0,22	-0,09
1,200	0,40	0,22	-0,33
1,220	0,40	0,21	-0,22
1,240	0,41	0,21	-0,10
1,260	0,41	0,21	-0,21
1,280	0,42	0,20	-0,20
1,300	0,42	0,20	-0,43
1,320	0,42	0,19	-0,44
1,340	0,43	0,18	-0,20
1,360	0,43	0,18	-0,42
1,380	0,44	0,16	-0,55
1,400	0,44	0,16	-0,32
1,420	0,44	0,15	-0,31
1,440	0,44	0,14	-0,53
1,460	0,45	0,13	-0,66
1,480	0,45	0,12	-0,43
1,500	0,45	0,11	-0,42
1,520	0,45	0,10	-0,65
1,540	0,46	0,09	-0,54
1,560	0,46	0,08	-0,54
1,580	0,46	0,07	-0,53
1,600	0,46	0,06	-0,64
1,620	0,46	0,04	-0,77
1,640	0,46	0,03	-0,54
1,660	0,46	0,02	-0,42
1,680	0,46	0,01	-0,53
1,700	0,46	0,00	-0,65
1,720	0,46	-0,02	-0,54
1,740	0,46	-0,02	-0,53
1,760	0,46	-0,04	-0,65
1,780	0,46	-0,05	-0,65
1,800	0,46	-0,06	-0,54
1,820	0,46	-0,07	-0,53
1,840	0,46	-0,09	-0,66
1,860	0,45	-0,10	-0,43
1,880	0,45	-0,10	-0,42
1,900	0,45	-0,12	-0,66
1,920	0,45	-0,13	-0,44
