Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)
0.000	141.54	99.26	42.28							28.4
0.050				1.326			0.0316			
0.100				1.751	0.895		0.0418	0.021		28.4
0.150				1.415	-13.383	-174.201	0.0338	-0.319	-4.159	
0.200	96.80	99.26	-2.45	0.413	-16.525	98.175	0.0099	-0.395	2.344	28.4
0.250				-0.237	-3.566	284.629	-0.0057	-0.085	6.795	
0.300				0.057	11.938	194.622	0.0013	0.285	4.646	28.4
0.350				0.957	15.896	-47.752	0.0228	0.380	-1.140	
0.400	171.97	99.26	72.71	1.646	7.163	-235.777	0.0393	0.171	-5.629	28.4
0.450				1.673	-7.681	-244.573	0.0399	-0.183	-5.839	
0.500				0.878	-17.294	-30.002	0.0210	-0.413	-0.716	28.4
0.550				-0.057	-10.681	232.478	-0.0014	-0.255	5.550	
0.600	120.40	99.26	21.14	-0.190	5.953	266.878	-0.0045	0.142	6.371	28.4
0.650				0.539	16.006	62.204	0.0129	0.382	1.485	
0.700				1.411	12.174	-169.803	0.0337	0.291	-4.054	28.4
0.750				1.756	-0.974	-268.292	0.0419	-0.023	-6.405	
0.800	132.55	99.26	33.29	1.313	-14.656	-146.712	0.0313	-0.350	-3.502	28.4
0.850				0.291	-15.645	131.633	0.0069	-0.373	3.142	
0.900				-0.251	-1.492	287.299	-0.0060	-0.036	6.859	28.4
0.950				0.141	13.085	169.332	0.0034	0.312	4.043	
1.000	166.17	99.26	66.91	1.057	15.441	-74.770	0.0252	0.369	-1.785	28.4
1.050				1.685	5.608	-248.029	0.0402	0.134	-5.921	
1.100				1.618	-9.362	-230.122	0.0386	-0.223	-5.494	28.4
1.150				0.749	-17.404	4.555	0.0179	-0.415	0.109	
1.200	104.60	99.26	5.34	-0.123	-8.906	250.228	-0.0029	-0.213	5.974	28.4
1.250				-0.141	7.618	251.013	-0.0034	0.182	5.993	
