FFT-Momentaufnahme #1	FFT-Momentaufnahme #1	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung
Frequenzwerte für Winkel (Hz)	Winkel-Werte (rad)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)
0.01	8.17E-4	0.000	99.09	99.25	-0.16							24.8
0.04	8.19E-4	0.020				0.360			0.0086			
0.06	9.13E-4	0.040				0.198	-9.111		0.0047	-0.218		
0.09	7.48E-4	0.050	98.88	99.25	-0.37							
0.11	6.50E-4	0.060				-0.005	-10.721	-61.850	-1.1250E-4	-0.256	-1.477	
0.13	7.49E-4	0.080				-0.231	-11.585	-27.489	-0.0055	-0.277	-0.656	
0.16	8.84E-4	0.100	98.59	99.25	-0.66	-0.468	-11.820	4.909	-0.0112	-0.282	0.117	24.8
0.18	8.27E-4	0.120				-0.704	-11.388	38.288	-0.0168	-0.272	0.914	
0.21	6.52E-4	0.140				-0.924	-10.289	66.759	-0.0220	-0.246	1.594	
0.23	8.06E-4	0.150	98.52	99.25	-0.73							
0.26	8.88E-4	0.160				-1.115	-8.718	87.376	-0.0266	-0.208	2.086	
0.28	7.29E-4	0.180				-1.272	-6.794	102.102	-0.0304	-0.162	2.438	
0.31	9.02E-4	0.200	98.65	99.25	-0.60	-1.387	-4.634	111.919	-0.0331	-0.111	2.672	24.8
0.33	9.95E-4	0.220				-1.458	-2.317	114.865	-0.0348	-0.055	2.742	
0.35	9.22E-4	0.240				-1.480	-0.039	113.883	-0.0353	-9.375E-4	2.719	
0.38	7.90E-4	0.250	98.85	99.25	-0.40							
0.40	8.61E-4	0.260				-1.459	2.238	113.883	-0.0348	0.053	2.719	
0.43	9.47E-4	0.280				-1.390	4.516	107.992	-0.0332	0.108	2.578	
0.45	9.62E-4	0.300	99.10	99.25	-0.15	-1.279	6.558	95.230	-0.0305	0.157	2.273	24.8
0.48	9.56E-4	0.320				-1.128	8.325	79.522	-0.0269	0.199	1.898	
0.50	9.28E-4	0.340				-0.946	9.739	61.850	-0.0226	0.232	1.477	
0.52	9.29E-4	0.350	99.33	99.25	0.08							
0.55	0.00	0.360				-0.738	10.799	38.288	-0.0176	0.258	0.914	
0.57	9.53E-4	0.380				-0.514	11.270	9.817	-0.0123	0.269	0.234	
0.60	9.07E-4	0.400	99.71	99.25	0.46	-0.287	11.192	-17.671	-0.0069	0.267	-0.422	24.8
0.62	9.53E-4	0.420				-0.066	10.564	-48.106	-0.0016	0.252	-1.148	
0.65	8.70E-4	0.440				0.135	9.268	-76.576	0.0032	0.221	-1.828	
0.67	7.81E-4	0.450	99.78	99.25	0.53							
0.70	9.20E-4	0.460				0.305	7.501	-100.138	0.0073	0.179	-2.391	
0.72	9.77E-4	0.480				0.435	5.262	-120.755	0.0104	0.126	-2.883	
0.74	9.36E-4	0.500	99.46	99.25	0.21	0.515	2.670	-131.554	0.0123	0.064	-3.141	24.8
0.77	0.00	0.520				0.542	0.000	-137.445	0.0129	0.000	-3.281	
0.79	0.00	0.540				0.515	-2.827	-141.372	0.0123	-0.067	-3.375	
0.82	0.00	0.550	99.14	99.25	-0.11							
0.84	0.00	0.560				0.429	-5.655	-130.573	0.0102	-0.135	-3.117	
0.87	9.72E-4	0.580				0.289	-8.050	-107.011	0.0069	-0.192	-2.555	
0.89	0.00	0.600	98.86	99.25	-0.39	0.107	-9.935	-79.522	0.0025	-0.237	-1.898	24.8
0.92	9.61E-4	0.620				-0.108	-11.231	-44.179	-0.0026	-0.268	-1.055	
0.94	0.00	0.640				-0.342	-11.702	-9.817	-0.0082	-0.279	-0.234	
0.96	0.00	0.650	98.62	99.25	-0.64							
0.99	0.00	0.660				-0.576	-11.624	18.653	-0.0138	-0.277	0.445	
1.01	0.00	0.680				-0.807	-10.956	50.069	-0.0193	-0.262	1.195	
1.04	0.00	0.700	98.52	99.25	-0.73	-1.015	-9.621	77.558	-0.0242	-0.230	1.852	24.8
1.06	8.61E-4	0.720				-1.192	-7.854	95.230	-0.0285	-0.188	2.273	
