Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2
Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)
0.000	141.54	99.26	42.28							28.4	0.000	103.53	99.26	4.26							-26.7
0.050				1.326			0.0316				0.050				0.020			4.8750E-4			
0.100				1.751	0.895		0.0418	0.021		28.4	0.100				0.935	16.148		0.0223	0.385		-26.7
0.150				1.415	-13.383	-174.201	0.0338	-0.319	-4.159		0.150				1.635	7.037	-242.845	0.0390	0.168	-5.797	
0.200	96.80	99.26	-2.45	0.413	-16.525	98.175	0.0099	-0.395	2.344	28.4	0.200	116.88	99.26	17.62	1.638	-8.137	-244.102	0.0391	-0.194	-5.827	-26.7
0.250				-0.237	-3.566	284.629	-0.0057	-0.085	6.795		0.250				0.822	-17.373	-19.949	0.0196	-0.415	-0.476	
0.300				0.057	11.938	194.622	0.0013	0.285	4.646	28.4	0.300				-0.099	-10.132	241.903	-0.0024	-0.242	5.775	-26.7
0.350				0.957	15.896	-47.752	0.0228	0.380	-1.140		0.350				-0.192	6.817	265.308	-0.0046	0.163	6.334	
0.400	171.97	99.26	72.71	1.646	7.163	-235.777	0.0393	0.171	-5.629	28.4	0.400	147.41	99.26	48.14	0.583	16.399	46.653	0.0139	0.392	1.114	-26.7
0.450				1.673	-7.681	-244.573	0.0399	-0.183	-5.839		0.450				1.448	11.483	-189.595	0.0346	0.274	-4.526	
0.500				0.878	-17.294	-30.002	0.0210	-0.413	-0.716	28.4	0.500				1.731	-2.560	-270.805	0.0413	-0.061	-6.465	-26.7
0.550				-0.057	-10.681	232.478	-0.0014	-0.255	5.550		0.550				1.192	-15.598	-121.108	0.0285	-0.372	-2.891	
0.600	120.40	99.26	21.14	-0.190	5.953	266.878	-0.0045	0.142	6.371	28.4	0.600	98.53	99.26	-0.73	0.171	-14.671	162.892	0.0041	-0.350	3.889	-26.7
0.650				0.539	16.006	62.204	0.0129	0.382	1.485		0.650				-0.275	0.691	292.325	-0.0066	0.016	6.979	
0.700				1.411	12.174	-169.803	0.0337	0.291	-4.054	28.4	0.700				0.240	14.561	140.272	0.0057	0.348	3.349	-26.7
0.750				1.756	-0.974	-268.292	0.0419	-0.023	-6.405		0.750				1.181	14.718	-114.982	0.0282	0.351	-2.745	
0.800	132.55	99.26	33.29	1.313	-14.656	-146.712	0.0313	-0.350	-3.502	28.4	0.800	167.98	99.26	68.71	1.712	3.063	-265.308	0.0409	0.073	-6.334	-26.7
0.850				0.291	-15.645	131.633	0.0069	-0.373	3.142		0.850				1.488	-11.812	-201.847	0.0355	-0.282	-4.819	
0.900				-0.251	-1.492	287.299	-0.0060	-0.036	6.859	28.4	0.900				0.531	-17.122	60.790	0.0127	-0.409	1.451	-26.7
0.950				0.141	13.085	169.332	0.0034	0.312	4.043		0.950				-0.225	-5.733	279.288	-0.0054	-0.137	6.668	
1.000	166.17	99.26	66.91	1.057	15.441	-74.770	0.0252	0.369	-1.785	28.4	1.000	130.61	99.26	31.34	-0.042	10.807	221.325	-0.0010	0.258	5.284	-26.7
1.050				1.685	5.608	-248.029	0.0402	0.134	-5.921		1.050				0.856	16.399	-26.546	0.0204	0.391	-0.634	
1.100				1.618	-9.362	-230.122	0.0386	-0.223	-5.494	28.4	1.100				1.598	8.152	-232.321	0.0381	0.195	-5.546	-26.7
1.150				0.749	-17.404	4.555	0.0179	-0.415	0.109		1.150				1.671	-6.833	-252.898	0.0399	-0.163	-6.037	
1.200	104.60	99.26	5.34	-0.123	-8.906	250.228	-0.0029	-0.213	5.974	28.4	1.200	98.12	99.26	-1.14	0.914	-17.137	-45.710	0.0218	-0.409	-1.091	-26.7
1.250				-0.141	7.618	251.013	-0.0034	0.182	5.993		1.250				-0.042	-11.404	225.252	-0.0010	-0.272	5.377	
1.300				0.639	16.195	35.029	0.0153	0.387	0.836	28.4	1.300				-0.226	5.388	275.832	-0.0054	0.129	6.585	-26.7
1.350				1.478	11.121	-188.496	0.0353	0.265	-4.500		1.350				0.496	16.179	70.058	0.0118	0.386	1.672	
1.400	156.79	99.26	57.54	1.751	-2.655	-267.507	0.0418	-0.063	-6.386	28.4	1.400	170.54	99.27	71.28	1.392	12.394	-173.887	0.0332	0.296	-4.151	-26.7
1.450				1.213	-15.629	-120.323	0.0289	-0.373	-2.873		1.450				1.736	-1.210	-272.533	0.0414	-0.029	-6.506	
1.500				0.188	-14.687	161.164	0.0045	-0.351	3.848	28.4	1.500				1.271	-14.860	-142.471	0.0303	-0.355	-3.401	-26.7
1.550				-0.256	0.487	288.556	-0.0061	0.012	6.889		1.550				0.250	-15.457	139.801	0.0060	-0.369	3.338	
1.600	147.60	99.26	48.34	0.237	14.169	143.257	0.0057	0.338	3.420	28.4	1.600	115.92	99.26	16.65	-0.275	-0.880	292.325	-0.0066	-0.021	6.979	-26.7
1.650				1.161	14.813	-102.102	0.0277	0.354	-2.437		1.650				0.162	13.776	161.792	0.0039	0.329	3.863	
1.700				1.718	3.958	-257.140	0.0410	0.095	-6.139	28.4	1.700				1.103	15.300	-87.808	0.0263	0.365	-2.096	-26.7
1.750				1.557	-10.901	-212.843	0.0372	-0.260	-5.081		1.750				1.692	4.995	-226.666	0.0404	0.119	-5.411	
1.800	106.63	99.26	7.37	0.628	-17.326	38.327	0.0150	-0.414	0.915	28.4	1.800	144.28	99.26	45.02	1.602	-7.367	-192.423	0.0383	-0.176	-4.594	-26.7
1.850				-0.176	-7.069	267.036	-0.0042	-0.169	6.375		1.850				0.955	-14.247	-46.496	0.0228	-0.340	-1.110	
1.900				-0.079	9.378	233.421	-0.0019	0.224	5.572	28.4	1.900				0.178	-12.017	107.600	0.0042	-0.287	2.569	-26.7
1.950				0.762	16.273	3.456	0.0182	0.389	0.082		1.950				-0.247	-3.487	174.516	-0.0059	-0.083	4.166	
2.000	170.90	99.26	71.64	1.549	9.723	-207.817	0.0370	0.232	-4.961	28.4	2.000	117.57	99.26	18.31	-0.171	5.435	138.544	-0.0041	0.130	3.308	-26.7
2.050				1.734	-4.508	-261.695	0.0414	-0.108	-6.248		2.050				0.297	10.367	43.354	0.0071	0.247	1.035	
2.100				1.098	-16.446	-89.064	0.0262	-0.393	-2.126	28.4	2.100				0.866	9.770	-42.412	0.0207	0.233	-1.012	-26.7
2.150				0.090	-13.415	190.066	0.0021	-0.320	4.538		2.150				1.274	6.126	-70.529	0.0304	0.146	-1.684	
2.200	125.48	99.26	26.22	-0.243	2.560	284.471	-0.0058	0.061	6.791	28.4	2.200	165.74	99.26	66.48	1.478	2.717	-55.292	0.0353	0.065	-1.320	-26.7
2.250				0.346	15.033	113.883	0.0082	0.359	2.719		2.250				1.546	0.597	-31.573	0.0369	0.014	-0.754	
2.300				1.260	13.949	-128.334	0.0301	0.333	-3.064	28.4	2.300				1.538	-0.440	-16.650	0.0367	-0.011	-0.397	-26.7
2.350				1.740	2.199	-262.952	0.0416	0.052	-6.277		2.350				1.502	-1.068	-14.451	0.0359	-0.026	-0.345	
2.400	126.78	99.26	27.53	1.480	-12.346	-191.323	0.0353	-0.295	-4.568	28.4	2.400	156.61	99.26	57.35	1.431	-1.885	-19.164	0.0342	-0.045	-0.458	-26.7
2.450				0.506	-16.933	71.157	0.0121	-0.404	1.699		2.450				1.313	-2.985	-23.876	0.0313	-0.071	-0.570	
2.500				-0.214	-5.231	276.460	-0.0051	-0.125	6.600	28.4	2.500				1.133	-4.273	-24.190	0.0270	-0.102	-0.577	-26.7
2.550				-0.017	10.713	214.100	-4.1250E-4	0.256	5.111		2.550				0.886	-5.404	-18.378	0.0211	-0.129	-0.439	
2.600	169.09	99.26	69.82	0.858	16.179	-22.305	0.0205	0.386	-0.532	28.3	2.600	114.68	99.26	15.42	0.592	-6.110	-6.912	0.0141	-0.146	-0.165	-26.7
2.650				1.601	8.482	-223.367	0.0382	0.202	-5.333		2.650				0.275	-6.095	10.996	0.0066	-0.145	0.262	
2.700				1.706	-6.158	-254.312	0.0407	-0.147	-6.071	28.3	2.700				-0.017	-5.011	36.285	-4.1250E-4	-0.120	0.866	-26.7
2.750				0.985	-16.949	-59.219	0.0235	-0.405	-1.414		2.750				-0.226	-2.466	69.115	-0.0054	-0.059	1.650	
2.800	97.08	99.26	-2.17	0.011	-12.079	212.058	2.6250E-4	-0.288	5.062	28.3	2.800	100.07	99.26	0.81	-0.264	1.901	98.960	-0.0063	0.045	2.362	-26.7
2.850				-0.223	4.257	276.303	-0.0053	0.102	6.596		2.850				-0.036	7.430	97.389	-8.6250E-4	0.177	2.325	
2.900				0.437	15.551	88.907	0.0104	0.371	2.122	28.3	2.900				0.479	11.640	38.327	0.0114	0.278	0.915	-26.7
2.950				1.332	13.148	-148.440	0.0318	0.314	-3.544		2.950				1.128	11.263	-57.020	0.0269	0.269	-1.361	
3.000	151.65	99.26	52.39	1.751	0.707	-267.036	0.0418	0.017	-6.375	28.3	3.000	174.00	99.26	74.73	1.605	5.938	-144.828	0.0383	0.142	-3.458	-26.7
3.050				1.403	-13.556	-171.374	0.0335	-0.324	-4.091		3.050				1.722	-3.220	-198.235	0.0411	-0.077	-4.732	
3.100				0.396	-16.431	102.416	0.0095	-0.392	2.445	28.3	3.100				1.283	-13.886	-123.308	0.0306	-0.331	-2.944	-26.7
3.150				-0.240	-3.314	285.100	-0.0057	-0.079	6.806		3.150				0.333	-15.551	127.706	0.0079	-0.371	3.049	
3.200	114.38	99.26	15.12	0.064	12.079	191.480	0.0015	0.288	4.571	28.3	3.200	98.85	99.26	-0.41	-0.272	-1.115	318.872	-0.0065	-0.027	7.613	-26.7
3.250				0.968	15.834	-50.580	0.0231	0.378	-1.208		3.250				0.221	16.336	158.965	0.0053	0.390	3.795	
3.300				1.648	7.021	-236.091	0.0393	0.168	-5.636	28.3	3.300				1.362	14.781	-217.870	0.0325	0.353	-5.201	-26.7
3.350				1.670	-7.775	-243.631	0.0399	-0.186	-5.816		3.350				1.700	-5.451	-334.737	0.0406	-0.130	-7.991	
3.400	103.80	99.26	4.55	0.870	-17.342	-27.803	0.0208	-0.414	-0.664	28.3	3.400	107.19	99.26	7.93	0.817	-18.692	-33.929	0.0195	-0.446	-0.810	-26.7
3.450				-0.064	-10.556	234.520	-0.0015	-0.252	5.599		3.450				-0.170	-8.844	294.682	-0.0041	-0.211	7.035	
3.500				-0.185	6.110	265.465	-0.0044	0.146	6.338	28.3	3.500				-0.068	10.776	261.224	-0.0016	0.257	6.236	-26.7
3.550				0.547	15.991	59.847	0.0131	0.382	1.429		3.550				0.908	17.279	-39.584	0.0217	0.412	-0.945	
3.600	169.07	99.26	69.81	1.414	12.095	-170.117	0.0338	0.289	-4.061	28.3	3.600	162.22	99.26	62.96	1.660	6.817	-265.151	0.0396	0.163	-6.330	-26.7
