"Messung #1","Messung #1","Messung #2","Messung #2"
"strom","licht","strom licht",
1,3.96143,-1,3.99481
0.9,3.96359,-0.9,3.99583
0.8,3.96373,-0.8,3.99629
0.7,3.96628,-0.7,3.99522
0.6,3.96565,-0.6,3.99152
0.5,3.96727,-0.5,3.99115
0.4,3.96429,-0.4,3.98816
0.29,3.96397,-0.3,3.98532
0.2,3.9628,-0.2,3.985
0.1,3.96103,-0.1,3.98712
0,3.95917,0,3.98547
0,3.95941,0,3.99266
-0.1,3.96283,0.1,3.98915
-0.2,3.96127,0.2,3.98808
-0.3,3.96002,0.3,3.98608
-0.4,3.96077,0.4,3.98581
-0.5,3.963,0.5,3.97536
-0.6,3.99544,0.6,3.95012
-0.7,3.99904,0.7,3.94588
-0.8,3.99985,0.8,3.9433
-0.9,3.99583,0.9,3.94539
-1,3.99663,1,3.94661
