Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1
Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität
0,000;;;;;;;0,0;0,0350037
0,200;0,000;;;0,0000000;;;0,0;0,0339813
0,400;0,000;0,020;;0,0000000;4,687E-4;;0,0;0,0376892
0,600;0,008;0,043;0,088;1,8750000E-4;0,001;0,002;0,0;0,0393372
0,800;0,017;0,055;0,020;4,1250000E-4;0,001;4,687E-4;0,0;0,0421600
1,000;0,030;0,051;-0,039;7,1250000E-4;0,001;-9,375E-4;0,0;0,0389862
1,200;0,038;0,039;-0,010;9,0000000E-4;9,375E-4;-2,344E-4;0,0;0,0352173
1,400;0,046;0,047;0,049;0,0010875;0,001;0,001;0,0;0,0329132
1,600;0,057;0,059;0,029;0,0013500;0,001;7,031E-4;0,0;0,0329437
1,800;0,069;0,059;-0,010;0,0016500;0,001;-2,344E-4;0,0;0,0338135
2,000;0,080;0,055;-1,735E-16;0,0019125;0,001;-3,795E-18;0,0;0,0403442
2,200;0,091;0,059;0,010;0,0021750;0,001;2,344E-4;0,1;0,0511780
2,400;0,104;0,059;-0,010;0,0024750;0,001;-2,344E-4;0,1;0,0518188
2,600;0,115;0,055;-8,674E-17;0,0027375;0,001;0,000;0,0;0,0430450
2,800;0,126;0,059;0,020;0,0030000;0,001;4,687E-4;0,0;0,0342255
3,000;0,138;0,063;-0,029;0,0033000;0,002;-7,031E-4;0,0;0,0332794
3,200;0,151;0,047;-0,059;0,0036000;0,001;-0,001;0,0;0,0327148
3,400;0,157;0,039;0,010;0,0037500;9,375E-4;2,344E-4;0,0;0,0338745
3,600;0,167;0,051;0,039;0,0039750;0,001;9,375E-4;0,0;0,0389099
3,800;0,178;0,055;-0,010;0,0042375;0,001;-2,344E-4;0,0;0,0498657
4,000;0,188;0,047;-0,029;0,0045000;0,001;-7,031E-4;0,1;0,0518341
4,200;0,196;0,043;-0,010;0,0046875;0,001;-2,344E-4;0,0;0,0486603
4,400;0,206;0,043;0,020;0,0049125;0,001;4,687E-4;0,0;0,0390472
4,600;0,214;0,051;0,029;0,0051000;0,001;7,031E-4;0,0;0,0345459
4,800;0,226;0,055;-0,029;0,0054000;0,001;-7,031E-4;0,0;0,0345001
5,000;0,236;0,039;-0,059;0,0056250;9,375E-4;-0,001;0,0;0,0342255
5,200;0,242;0,031;-5,204E-17;0,0057750;7,500E-4;-5,421E-18;0,0;0,0338440
5,400;0,248;0,039;0,059;0,0059250;9,375E-4;0,001;0,0;0,0374451
5,600;0,258;0,055;0,039;0,0061500;0,001;9,375E-4;0,0;0,0475006
5,800;0,270;0,055;-0,020;0,0064500;0,001;-4,687E-4;0,0;0,0486145
6,000;0,280;0,047;-0,029;0,0066750;0,001;-7,031E-4;0,0;0,0449371
6,200;0,289;0,043;-2,602E-16;0,0069000;0,001;-1,193E-17;0,0;0,0378571
6,400;0,297;0,047;0,020;0,0070875;0,001;4,687E-4;0,0;0,0345764
6,600;0,308;0,051;-0,010;0,0073500;0,001;-2,344E-4;0,0;0,0362549
6,800;0,317;0,043;-0,020;0,0075750;0,001;-4,687E-4;0,0;0,0364532
7,000;0,325;0,043;0,010;0,0077625;0,001;2,344E-4;0,0;0,0376282
7,200;0,335;0,047;0,010;0,0079875;0,001;2,344E-4;0,0;0,0449066
7,400;0,344;0,047;0,000;0,0082125;0,001;0,000;0,1;0,0611115
7,600;0,353;0,047;2,602E-16;0,0084375;0,001;6,505E-18;0,1;0,0665436
7,800;0,363;0,047;0,000;0,0086625;0,001;0,000;0,1;0,0610809
8,000;0,372;0,047;0,010;0,0088875;0,001;2,344E-4;0,0;0,0471191
8,200;0,382;0,051;5,204E-16;0,0091125;0,001;2,331E-17;0,0;0,0369110
8,400;0,393;0,047;-0,049;0,0093750;0,001;-0,001;0,0;0,0366669
8,600;0,401;0,031;-0,029;0,0095625;7,500E-4;-7,031E-4;0,0;0,0374298
8,800;0,405;0,035;0,049;0,0096750;8,437E-4;0,001;0,0;0,0375671
9,000;0,415;0,051;0,039;0,0099000;0,001;9,375E-4;0,0;0,0399780
9,200;0,426;0,051;-0,020;0,0101625;0,001;-4,687E-4;0,0;0,0466614
9,400;0,435;0,043;-0,039;0,0103875;0,001;-9,375E-4;0,0;0,0498352
9,600;0,443;0,035;-0,010;0,0105750;8,438E-4;-2,344E-4;0,1;0,0524902
