Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4
Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität
0,000;;;;;;;0,0;0,0350037;0,000;;;;;;;0,0;0,0379944;0,000;;;;;;;0,0;0,0334930;0,000;;;;;;;0,0;0,0381927
0,200;0,000;;;0,0000000;;;0,0;0,0339813;0,200;0,000;;;0,0000000;;;0,0;0,0389404;0,200;0,000;;;0,0000000;;;0,0;0,0337830;0,200;0,000;;;0,0000000;;;0,0;0,0379028
0,400;0,000;0,020;;0,0000000;4,687E-4;;0,0;0,0376892;0,400;0,000;0,008;;0,0000000;1,875E-4;;0,0;0,0393372;0,400;0,000;0,000;;0,0000000;0,000;;0,0;0,0344391;0,400;-0,002;0,004;;-3,7500000E-5;9,375E-5;;0,0;0,0389404
0,600;0,008;0,043;0,088;1,8750000E-4;0,001;0,002;0,0;0,0393372;0,600;0,003;0,008;0,010;7,5000000E-5;1,875E-4;2,344E-4;0,0;0,0364227;0,600;0,000;0,024;0,088;0,0000000;5,625E-4;0,002;0,0;0,0347748;0,600;0,002;0,008;-0,020;3,7500000E-5;1,875E-4;-4,687E-4;0,0;0,0385895
0,800;0,017;0,055;0,020;4,1250000E-4;0,001;4,687E-4;0,0;0,0421600;0,800;0,003;0,012;0,079;7,5000000E-5;2,813E-4;0,002;0,0;0,0348511;0,800;0,009;0,035;0,020;2,2500000E-4;8,438E-4;4,687E-4;0,0;0,0353394;0,800;0,002;-0,004;-8,674E-18;3,7500000E-5;-9,375E-5;-2,033E-19;0,0;0,0386810
1,000;0,030;0,051;-0,039;7,1250000E-4;0,001;-9,375E-4;0,0;0,0389862;1,000;0,008;0,039;0,118;1,8750000E-4;9,375E-4;0,003;0,0;0,0374146;1,000;0,014;0,031;0,020;3,3750000E-4;7,500E-4;4,687E-4;0,0;0,0375824;1,000;0,000;0,008;0,069;0,0000000;1,875E-4;0,002;0,0;0,0393066
1,200;0,038;0,039;-0,010;9,0000000E-4;9,375E-4;-2,344E-4;0,0;0,0352173;1,200;0,019;0,059;0,059;4,5000000E-4;0,001;0,001;0,0;0,0421753;1,200;0,022;0,043;0,049;5,2500000E-4;0,001;0,001;0,0;0,0415039;1,200;0,005;0,024;0,010;1,1250000E-4;5,625E-4;2,344E-4;0,0;0,0406952
1,400;0,046;0,047;0,049;0,0010875;0,001;0,001;0,0;0,0329132;1,400;0,031;0,063;8,674E-17;7,5000000E-4;0,002;5,421E-19;0,0;0,0384216;1,400;0,031;0,051;0,020;7,5000000E-4;0,001;4,688E-4;0,0;0,0405731;1,400;0,009;0,012;-0,010;2,2500000E-4;2,813E-4;-2,344E-4;0,0;0,0424805
1,600;0,057;0,059;0,029;0,0013500;0,001;7,031E-4;0,0;0,0329437;1,600;0,044;0,059;-0,020;0,0010500;0,001;-4,687E-4;0,0;0,0371246;1,600;0,042;0,051;-3,469E-17;0,0010125;0,001;5,421E-19;0,0;0,0362854;1,600;0,009;0,020;0,069;2,2500000E-4;4,688E-4;0,002;0,0;0,0429840
