Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2
Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität
0,000;;;;;;;0,0;0,0350037;0,000;;;;;;;0,0;0,0379944
0,200;0,000;;;0,0000000;;;0,0;0,0339813;0,200;0,000;;;0,0000000;;;0,0;0,0389404
0,400;0,000;0,020;;0,0000000;4,687E-4;;0,0;0,0376892;0,400;0,000;0,008;;0,0000000;1,875E-4;;0,0;0,0393372
0,600;0,008;0,043;0,088;1,8750000E-4;0,001;0,002;0,0;0,0393372;0,600;0,003;0,008;0,010;7,5000000E-5;1,875E-4;2,344E-4;0,0;0,0364227
0,800;0,017;0,055;0,020;4,1250000E-4;0,001;4,687E-4;0,0;0,0421600;0,800;0,003;0,012;0,079;7,5000000E-5;2,813E-4;0,002;0,0;0,0348511
1,000;0,030;0,051;-0,039;7,1250000E-4;0,001;-9,375E-4;0,0;0,0389862;1,000;0,008;0,039;0,118;1,8750000E-4;9,375E-4;0,003;0,0;0,0374146
1,200;0,038;0,039;-0,010;9,0000000E-4;9,375E-4;-2,344E-4;0,0;0,0352173;1,200;0,019;0,059;0,059;4,5000000E-4;0,001;0,001;0,0;0,0421753
1,400;0,046;0,047;0,049;0,0010875;0,001;0,001;0,0;0,0329132;1,400;0,031;0,063;8,674E-17;7,5000000E-4;0,002;5,421E-19;0,0;0,0384216
1,600;0,057;0,059;0,029;0,0013500;0,001;7,031E-4;0,0;0,0329437;1,600;0,044;0,059;-0,020;0,0010500;0,001;-4,687E-4;0,0;0,0371246
1,800;0,069;0,059;-0,010;0,0016500;0,001;-2,344E-4;0,0;0,0338135;1,800;0,055;0,055;-0,010;0,0013125;0,001;-2,344E-4;0,0;0,0370483
2,000;0,080;0,055;-1,735E-16;0,0019125;0,001;-3,795E-18;0,0;0,0403442;2,000;0,066;0,055;-1,041E-16;0,0015750;0,001;-2,168E-18;0,0;0,0359497
2,200;0,091;0,059;0,010;0,0021750;0,001;2,344E-4;0,1;0,0511780;2,200;0,077;0,055;1,214E-16;0,0018375;0,001;1,626E-18;0,0;0,0365448
2,400;0,104;0,059;-0,010;0,0024750;0,001;-2,344E-4;0,1;0,0518188;2,400;0,088;0,055;-0,010;0,0021000;0,001;-2,344E-4;0,0;0,0367432
2,600;0,115;0,055;-8,674E-17;0,0027375;0,001;0,000;0,0;0,0430450;2,600;0,099;0,051;0,000;0,0023625;0,001;-2,711E-18;0,0;0,0449066
2,800;0,126;0,059;0,020;0,0030000;0,001;4,687E-4;0,0;0,0342255;2,800;0,108;0,055;0,010;0,0025875;0,001;2,344E-4;0,0;0,0454559
3,000;0,138;0,063;-0,029;0,0033000;0,002;-7,031E-4;0,0;0,0332794;3,000;0,121;0,055;-0,029;0,0028875;0,001;-7,031E-4;0,0;0,0383148
3,200;0,151;0,047;-0,059;0,0036000;0,001;-0,001;0,0;0,0327148;3,200;0,130;0,043;-0,020;0,0031125;0,001;-4,687E-4;0,0;0,0352783
3,400;0,157;0,039;0,010;0,0037500;9,375E-4;2,344E-4;0,0;0,0338745;3,400;0,138;0,047;0,020;0,0033000;0,001;4,688E-4;0,0;0,0326233
3,600;0,167;0,051;0,039;0,0039750;0,001;9,375E-4;0,0;0,0389099;3,600;0,149;0,051;0,010;0,0035625;0,001;2,344E-4;0,0;0,0335388
3,800;0,178;0,055;-0,010;0,0042375;0,001;-2,344E-4;0,0;0,0498657;3,800;0,159;0,051;0,010;0,0037875;0,001;2,344E-4;0,0;0,0343323
4,000;0,188;0,047;-0,029;0,0045000;0,001;-7,031E-4;0,1;0,0518341;4,000;0,170;0,055;-0,010;0,0040500;0,001;-2,344E-4;0,0;0,0357819
4,200;0,196;0,043;-0,010;0,0046875;0,001;-2,344E-4;0,0;0,0486603;4,200;0,181;0,047;-0,029;0,0043125;0,001;-7,031E-4;0,0;0,0425568
4,400;0,206;0,043;0,020;0,0049125;0,001;4,687E-4;0,0;0,0390472;4,400;0,188;0,043;0,020;0,0045000;0,001;4,688E-4;0,1;0,0517578
4,600;0,214;0,051;0,029;0,0051000;0,001;7,031E-4;0,0;0,0345459;4,600;0,198;0,055;0,029;0,0047250;0,001;7,031E-4;0,0;0,0440826
4,800;0,226;0,055;-0,029;0,0054000;0,001;-7,031E-4;0,0;0,0345001;4,800;0,210;0,055;-0,029;0,0050250;0,001;-7,031E-4;0,0;0,0357056
5,000;0,236;0,039;-0,059;0,0056250;9,375E-4;-0,001;0,0;0,0342255;5,000;0,220;0,043;-0,039;0,0052500;0,001;-9,375E-4;0,0;0,0345306
5,200;0,242;0,031;-5,204E-17;0,0057750;7,500E-4;-5,421E-18;0,0;0,0338440;5,200;0,228;0,039;-2,429E-16;0,0054375;9,375E-4;-5,421E-18;0,0;0,0334625
5,400;0,248;0,039;0,059;0,0059250;9,375E-4;0,001;0,0;0,0374451;5,400;0,236;0,043;0,039;0,0056250;0,001;9,375E-4;0,0;0,0351563
5,600;0,258;0,055;0,039;0,0061500;0,001;9,375E-4;0,0;0,0475006;5,600;0,245;0,055;0,049;0,0058500;0,001;0,001;0,0;0,0352936
5,800;0,270;0,055;-0,020;0,0064500;0,001;-4,687E-4;0,0;0,0486145;5,800;0,258;0,063;1,388E-16;0,0061500;0,002;7,047E-18;0,0;0,0377502
6,000;0,280;0,047;-0,029;0,0066750;0,001;-7,031E-4;0,0;0,0449371;6,000;0,270;0,055;-0,039;0,0064500;0,001;-9,375E-4;0,0;0,0467224
6,200;0,289;0,043;-2,602E-16;0,0069000;0,001;-1,193E-17;0,0;0,0378571;6,200;0,280;0,047;-0,020;0,0066750;0,001;-4,688E-4;0,0;0,0460510
6,400;0,297;0,047;0,020;0,0070875;0,001;4,687E-4;0,0;0,0345764;6,400;0,289;0,047;-0,010;0,0069000;0,001;-2,344E-4;0,0;0,0382233
6,600;0,308;0,051;-0,010;0,0073500;0,001;-2,344E-4;0,0;0,0362549;6,600;0,298;0,043;-0,020;0,0071250;0,001;-4,687E-4;0,0;0,0355835
6,800;0,317;0,043;-0,020;0,0075750;0,001;-4,687E-4;0,0;0,0364532;6,800;0,306;0,039;2,429E-16;0,0073125;9,375E-4;5,421E-18;0,0;0,0337219
7,000;0,325;0,043;0,010;0,0077625;0,001;2,344E-4;0,0;0,0376282;7,000;0,314;0,043;0,010;0,0075000;0,001;2,344E-4;0,0;0,0346832
7,200;0,335;0,047;0,010;0,0079875;0,001;2,344E-4;0,0;0,0449066;7,200;0,324;0,043;-0,010;0,0077250;0,001;-2,344E-4;0,0;0,0375366
7,400;0,344;0,047;0,000;0,0082125;0,001;0,000;0,1;0,0611115;7,400;0,331;0,039;-0,010;0,0079125;9,375E-4;-2,344E-4;0,0;0,0372772
7,600;0,353;0,047;2,602E-16;0,0084375;0,001;6,505E-18;0,1;0,0665436;7,600;0,339;0,039;0,010;0,0081000;9,375E-4;2,344E-4;0,0;0,0388641
