Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1
Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität
0,000;;;;;;;0,1;0,07
0,010;0,000;;;0,0000;;;;
0,020;0,000;0,000;;0,0000;0,000;;;
0,030;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,040;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,050;0,000;0,000;0,000;0,0000;0,000;0,000;0,1;0,07
0,060;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,070;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,080;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,090;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,100;0,000;0,000;0,000;0,0000;0,000;0,000;0,1;0,07
0,110;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,120;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,130;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,140;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,150;0,000;0,000;0,000;0,0000;0,000;0,000;0,1;0,07
0,160;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,170;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,180;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,190;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,200;0,000;0,000;0,000;0,0000;0,000;0,000;0,1;0,07
0,210;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,220;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,230;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,240;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,250;0,000;0,000;0,000;0,0000;0,000;0,000;0,1;0,07
0,260;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,270;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,280;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,290;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,300;0,000;0,000;0,000;0,0000;0,000;0,000;0,1;0,07
0,310;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,320;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,330;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,340;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,350;0,000;0,000;0,000;0,0000;0,000;0,000;0,1;0,07
0,360;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,370;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,380;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,390;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,400;0,000;0,000;0,000;0,0000;0,000;0,000;0,1;0,08
0,410;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,420;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,430;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,440;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,450;0,000;0,000;0,000;0,0000;0,000;0,000;0,1;0,07
0,460;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,470;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,480;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,490;0,000;0,000;0,000;0,0000;0,000;0,000;;
0,500;0,000;0,000;3,927;0,0000;0,000;0,094;0,1;0,07
0,510;0,000;0,079;3,927;0,0000;0,002;0,094;;
0,520;0,002;0,079;-3,927;3,7500E-5;0,002;-0,094;;
0,530;0,002;0,000;-3,927;3,7500E-5;0,000;-0,094;;
0,540;0,002;0,000;0,000;3,7500E-5;0,000;0,000;;
0,550;0,002;0,000;0,000;3,7500E-5;0,000;0,000;0,1;0,07
0,560;0,002;0,000;0,000;3,7500E-5;0,000;0,000;;
0,570;0,002;0,000;0,000;3,7500E-5;0,000;0,000;;
0,580;0,002;0,000;0,000;3,7500E-5;0,000;0,000;;
0,590;0,002;0,000;3,927;3,7500E-5;0,000;0,094;;
0,600;0,002;0,079;3,927;3,7500E-5;0,002;0,094;0,1;0,07
0,610;0,003;0,079;-3,927;7,5000E-5;0,002;-0,094;;
0,620;0,003;0,000;-3,927;7,5000E-5;0,000;-0,094;;
0,630;0,003;0,000;0,000;7,5000E-5;0,000;0,000;;
0,640;0,003;0,000;0,000;7,5000E-5;0,000;0,000;;
0,650;0,003;0,000;0,000;7,5000E-5;0,000;0,000;0,1;0,07
0,660;0,003;0,000;0,000;7,5000E-5;0,000;0,000;;
0,670;0,003;0,000;0,000;7,5000E-5;0,000;0,000;;
0,680;0,003;0,000;0,000;7,5000E-5;0,000;0,000;;
0,690;0,003;0,000;0,000;7,5000E-5;0,000;0,000;;
0,700;0,003;0,000;0,000;7,5000E-5;0,000;0,000;0,1;0,07
0,710;0,003;0,000;3,927;7,5000E-5;0,000;0,094;;
0,720;0,003;0,079;3,927;7,5000E-5;0,002;0,094;;
0,730;0,005;0,079;-7,854;1,1250E-4;0,002;-0,188;;
0,740;0,005;-0,079;-3,927;1,1250E-4;-0,002;-0,094;;
0,750;0,003;0,000;7,854;7,5000E-5;0,000;0,188;0,1;0,07
0,760;0,005;0,079;3,927;1,1250E-4;0,002;0,094;;
0,770;0,005;0,079;0,000;1,1250E-4;0,002;0,000;;
0,780;0,006;0,079;-3,927;1,5000E-4;0,002;-0,094;;
0,790;0,006;0,000;-3,927;1,5000E-4;0,000;-0,094;;
0,800;0,006;0,000;3,927;1,5000E-4;0,000;0,094;0,1;0,06
0,810;0,006;0,079;3,927;1,5000E-4;0,002;0,094;;
0,820;0,008;0,079;-3,927;1,8750E-4;0,002;-0,094;;
0,830;0,008;0,000;2,082E-15;1,8750E-4;0,000;0,000;;
0,840;0,008;0,079;3,927;1,8750E-4;0,002;0,094;;
0,850;0,009;0,079;-3,927;2,2500E-4;0,002;-0,094;0,1;0,06
0,860;0,009;0,000;0,000;2,2500E-4;0,000;7,589E-17;;
0,870;0,009;0,079;3,927;2,2500E-4;0,002;0,094;;
0,880;0,011;0,079;-3,927;2,6250E-4;0,002;-0,094;;
0,890;0,011;0,000;-2,220E-14;2,6250E-4;0,000;-5,963E-16;;
0,900;0,011;0,079;3,927;2,6250E-4;0,002;0,094;0,1;0,06
0,910;0,013;0,079;-3,927;3,0000E-4;0,002;-0,094;;
0,920;0,013;0,000;-3,927;3,0000E-4;0,000;-0,094;;
0,930;0,013;0,000;3,927;3,0000E-4;0,000;0,094;;
0,940;0,013;0,079;3,927;3,0000E-4;0,002;0,094;;
0,950;0,014;0,079;-3,927;3,3750E-4;0,002;-0,094;0,1;0,06
0,960;0,014;0,000;-3,927;3,3750E-4;0,000;-0,094;;
0,970;0,014;0,000;0,000;3,3750E-4;0,000;0,000;;
0,980;0,014;0,000;3,927;3,3750E-4;0,000;0,094;;
0,990;0,014;0,079;3,927;3,3750E-4;0,002;0,094;;
1,000;0,016;0,079;-3,927;3,7500E-4;0,002;-0,094;0,1;0,06
1,010;0,016;0,000;-3,927;3,7500E-4;0,000;-0,094;;
1,020;0,016;0,000;3,927;3,7500E-4;0,000;0,094;;
1,030;0,016;0,079;3,927;3,7500E-4;0,002;0,094;;
1,040;0,017;0,079;-3,927;4,1250E-4;0,002;-0,094;;
1,050;0,017;0,000;-3,927;4,1250E-4;0,000;-0,094;0,1;0,06
1,060;0,017;0,000;0,000;4,1250E-4;0,000;0,000;;
1,070;0,017;0,000;0,000;4,1250E-4;0,000;0,000;;
1,080;0,017;0,000;0,000;4,1250E-4;0,000;0,000;;
1,090;0,017;0,000;3,927;4,1250E-4;0,000;0,094;;
1,100;0,017;0,079;3,927;4,1250E-4;0,002;0,094;0,1;0,06
1,110;0,019;0,079;-3,927;4,5000E-4;0,002;-0,094;;
1,120;0,019;0,000;-3,927;4,5000E-4;0,000;-0,094;;
1,130;0,019;0,000;3,927;4,5000E-4;0,000;0,094;;
1,140;0,019;0,079;3,927;4,5000E-4;0,002;0,094;;
1,150;0,020;0,079;-3,927;4,8750E-4;0,002;-0,094;0,1;0,06
1,160;0,020;0,000;-3,927;4,8750E-4;0,000;-0,094;;
1,170;0,020;0,000;3,927;4,8750E-4;0,000;0,094;;
