Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2
Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität
0,000;;;;;;;0,0;0,0328827;0,000;;;;;;;0,0;2,4185638
0,200;0,000;;;0,0000000;;;0,0;0,0328979;0,200;0,000;;;0,0000000;;;0,0;2,4232330
0,400;0,000;0,000;;0,0000000;0,000;;0,0;0,0345001;0,400;0,003;0,024;;7,5000000E-5;5,625E-4;;0,0;2,4144135
0,600;0,000;0,012;0,069;0,0000000;2,812E-4;0,002;0,0;0,0333710;0,600;0,009;0,035;0,039;2,2500000E-4;8,438E-4;9,375E-4;0,0;2,4214172
0,800;0,005;0,027;0,069;1,1250000E-4;6,563E-4;0,002;0,0;0,0341492;0,800;0,017;0,039;0,010;4,1250000E-4;9,375E-4;2,344E-4;0,0;2,4027252
1,000;0,011;0,039;0,079;2,6250000E-4;9,375E-4;0,002;0,0;0,0327759;1,000;0,025;0,039;-1,041E-16;6,0000000E-4;9,375E-4;-2,439E-18;0,0;2,4042969
1,200;0,020;0,059;0,059;4,8750000E-4;0,001;0,001;0,0;0,0333252;1,200;0,033;0,039;-0,010;7,8750000E-4;9,375E-4;-2,344E-4;0,0;2,3970184
1,400;0,035;0,063;-0,010;8,2500000E-4;0,002;-2,344E-4;0,0;0,0329132;1,400;0,041;0,035;-0,020;9,7500000E-4;8,438E-4;-4,687E-4;0,0;2,4180450
1,600;0,046;0,055;0,010;0,0010875;0,001;2,344E-4;0,0;0,0343323;1,600;0,047;0,031;-0,020;0,0011250;7,500E-4;-4,688E-4;0,0;2,4092255
1,800;0,057;0,067;0,039;0,0013500;0,002;9,375E-4;0,0;0,0335388;1,800;0,053;0,027;-0,010;0,0012750;6,562E-4;-2,344E-4;0,0;2,4367218
2,000;0,072;0,071;-0,029;0,0017250;0,002;-7,031E-4;0,0;0,0316620;2,000;0,058;0,027;0,020;0,0013875;6,562E-4;4,687E-4;0,0;2,4180450
2,200;0,085;0,055;-0,059;0,0020250;0,001;-0,001;0,0;0,0321808;2,200;0,064;0,035;0,020;0,0015375;8,437E-4;4,688E-4;0,0;2,4196014
2,400;0,094;0,047;-0,010;0,0022500;0,001;-2,344E-4;0,0;0,0318909;2,400;0,072;0,035;-0,010;0,0017250;8,438E-4;-2,344E-4;0,0;2,4237518
