Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2
Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität
0,000;;;;;;;0,0;0,0303192;0,000;;;;;;;0,0;0,0321960
0,200;0,000;;;0,0000000;;;0,0;0,0311890;0,200;0,000;;;0,0000000;;;0,0;0,0336914
0,400;0,000;0,000;;0,0000000;0,000;;0,0;0,0304718;0,400;0,003;0,024;;7,5000000E-5;5,625E-4;;0,0;0,0344696
0,600;0,000;0,000;0,000;0,0000000;0,000;0,000;0,0;0,0309906;0,600;0,009;0,035;0,088;2,2500000E-4;8,438E-4;0,002;0,0;0,0355835
0,800;0,000;0,000;0,000;0,0000000;0,000;0,000;0,0;0,0318146;0,800;0,017;0,059;0,069;4,1250000E-4;0,001;0,002;0,0;0,0365448
1,000;0,000;0,000;-0,020;0,0000000;0,000;-4,687E-4;0,0;0,0325165;1,000;0,033;0,063;-0,039;7,8750000E-4;0,001;-9,375E-4;0,0;0,0366669
1,200;0,000;-0,008;-0,020;0,0000000;-1,875E-4;-4,687E-4;0,0;0,0325623;1,200;0,042;0,043;-0,069;0,0010125;0,001;-0,002;0,0;0,0370636
1,400;-0,003;-0,008;-8,674E-18;-7,5000000E-5;-1,875E-4;-2,711E-19;0,0;0,0315857;1,400;0,050;0,035;-0,010;0,0012000;8,438E-4;-2,344E-4;0,0;0,0372467
1,600;-0,003;-0,008;-0,010;-7,5000000E-5;-1,875E-4;-2,344E-4;0,0;0,0326996;1,600;0,057;0,039;0,059;0,0013500;9,375E-4;0,001;0,0;0,0371094
1,800;-0,006;-0,012;0,039;-1,5000000E-4;-2,813E-4;9,375E-4;0,0;0,0320892;1,800;0,066;0,059;0,059;0,0015750;0,001;0,001;0,0;0,0365601
2,000;-0,008;0,008;0,079;-1,8750000E-4;1,875E-4;0,002;0,0;0,0327759;2,000;0,080;0,063;-0,010;0,0019125;0,001;-2,344E-4;0,0;0,0368805
2,200;-0,003;0,020;0,020;-7,5000000E-5;4,687E-4;4,687E-4;0,0;0,0322418;2,200;0,091;0,055;-0,010;0,0021750;0,001;-2,344E-4;0,0;0,0359650
2,400;4,337E-19;0,016;0,010;0,0000000;3,750E-4;2,344E-4;0,0;0,0314331;2,400;0,102;0,059;0,010;0,0024375;0,001;2,344E-4;0,0;0,0360718
2,600;0,003;0,024;0,029;7,5000000E-5;5,625E-4;7,031E-4;0,0;0,0330963;2,600;0,115;0,059;-0,010;0,0027375;0,001;-2,344E-4;0,0;0,0359650
2,800;0,009;0,027;-1,735E-17;2,2500000E-4;6,563E-4;-2,711E-19;0,0;0,0323792;2,800;0,126;0,055;-0,010;0,0030000;0,001;-2,344E-4;0,0;0,0351257
3,000;0,014;0,024;-0,010;3,3750000E-4;5,625E-4;-2,344E-4;0,0;0,0340118;3,000;0,137;0,055;0,020;0,0032625;0,001;4,687E-4;0,0;0,0355377
3,200;0,019;0,024;-0,010;4,5000000E-4;5,625E-4;-2,344E-4;0,0;0,0340424;3,200;0,148;0,063;0,010;0,0035250;0,001;2,344E-4;0,0;0,0360565
3,400;0,024;0,020;-0,010;5,6250000E-4;4,688E-4;-2,344E-4;0,0;0,0341949;3,400;0,162;0,059;-0,029;0,0038625;0,001;-7,031E-4;0,0;0,0361786
3,600;0,027;0,020;0,020;6,3750000E-4;4,687E-4;4,688E-4;0,0;0,0344849;3,600;0,171;0,051;-0,010;0,0040875;0,001;-2,344E-4;0,0;0,0361176
3,800;0,031;0,027;0,020;7,5000000E-4;6,562E-4;4,688E-4;0,0;0,0335083;3,800;0,182;0,055;0,000;0,0043500;0,001;0,000;0,0;0,0365601
4,000;0,038;0,027;-0,029;9,0000000E-4;6,563E-4;-7,031E-4;0,0;0,0334473;4,000;0,193;0,051;-0,020;0,0046125;0,001;-4,687E-4;0,0;0,0371857
4,200;0,042;0,016;-0,039;0,0010125;3,750E-4;-9,375E-4;0,0;0,0332947;4,200;0,203;0,047;-1,561E-16;0,0048375;0,001;-3,253E-18;0,0;0,0377045
4,400;0,044;0,012;-4,337E-17;0,0010500;2,812E-4;-6,776E-19;0,0;0,0337830;4,400;0,212;0,051;0,029;0,0050625;0,001;7,031E-4;0,0;0,0370483
4,600;0,047;0,016;0,010;0,0011250;3,750E-4;2,344E-4;0,0;0,0332947;4,600;0,223;0,059;0,010;0,0053250;0,001;2,344E-4;0,0;0,0363312
4,800;0,050;0,016;8,674E-17;0,0012000;3,750E-4;2,033E-18;0,0;0,0333405;4,800;0,236;0,055;-0,039;0,0056250;0,001;-9,375E-4;0,0;0,0363464
5,000;0,053;0,016;-8,674E-17;0,0012750;3,750E-4;-2,033E-18;0,0;0,0328979;5,000;0,245;0,043;-0,020;0,0058500;0,001;-4,688E-4;0,0;0,0364227
5,200;0,057;0,016;-8,674E-17;0,0013500;3,750E-4;-2,033E-18;0,0;0,0320129;5,200;0,253;0,047;0,049;0,0060375;0,001;0,001;0,0;0,0352020
5,400;0,060;0,016;-0,010;0,0014250;3,750E-4;-2,344E-4;0,0;0,0325012;5,400;0,264;0,063;0,029;0,0063000;0,001;7,031E-4;0,0;0,0337677
5,600;0,063;0,012;-0,010;0,0015000;2,812E-4;-2,344E-4;0,0;0,0327454;5,600;0,278;0,059;-0,039;0,0066375;0,001;-9,375E-4;0,0;0,0325317
5,800;0,064;0,012;6,505E-17;0,0015375;2,813E-4;1,626E-18;0,0;0,0319061;5,800;0,287;0,047;-0,029;0,0068625;0,001;-7,031E-4;0,0;0,0330353
6,000;0,068;0,012;-0,010;0,0016125;2,813E-4;-2,344E-4;0,0;0,0329590;6,000;0,297;0,047;0,020;0,0070875;0,001;4,687E-4;0,0;0,0333405
6,200;0,069;0,008;-0,010;0,0016500;1,875E-4;-2,344E-4;0,0;0,0325623;6,200;0,306;0,055;0,020;0,0073125;0,001;4,687E-4;0,0;0,0341034
6,400;0,071;0,008;0,010;0,0016875;1,875E-4;2,344E-4;0,0;0,0330200;6,400;0,319;0,055;-0,010;0,0076125;0,001;-2,344E-4;0,0;0,0336456
6,600;0,072;0,012;0,010;0,0017250;2,812E-4;2,344E-4;0,0;0,0335083;6,600;0,328;0,051;3,123E-16;0,0078375;0,001;1,247E-17;0,0;0,0349731
6,800;0,075;0,012;6,505E-17;0,0018000;2,813E-4;1,626E-18;0,0;0,0328522;6,800;0,339;0,055;0,020;0,0081000;0,001;4,688E-4;0,0;0,0351410
7,000;0,077;0,012;-6,505E-17;0,0018375;2,813E-4;-1,626E-18;0,0;0,0324249;7,000;0,350;0,059;-0,010;0,0083625;0,001;-2,344E-4;0,0;0,0352173
7,200;0,080;0,012;-0,010;0,0019125;2,812E-4;-2,344E-4;0,0;0,0339050;7,200;0,363;0,051;-0,029;0,0086625;0,001;-7,031E-4;0,0;0,0360718
7,400;0,082;0,008;0,000;0,0019500;1,875E-4;0,000;0,0;0,0334473;7,400;0,371;0,047;0,020;0,0088500;0,001;4,688E-4;0,0;0,0360107
7,600;0,083;0,012;0,010;0,0019875;2,812E-4;2,344E-4;0,0;0,0340271;7,600;0,382;0,059;0,029;0,0091125;0,001;7,031E-4;0,0;0,0353851
7,800;0,086;0,012;0,000;0,0020625;2,813E-4;1,355E-18;0,0;0,0341339;7,800;0,394;0,059;-0,020;0,0094125;0,001;-4,688E-4;0,0;0,0343323
8,000;0,088;0,012;-6,505E-17;0,0021000;2,813E-4;-1,626E-18;0,0;0,0332794;8,000;0,405;0,051;-0,020;0,0096750;0,001;-4,688E-4;0,0;0,0347137
