Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1
Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität
0,000;;;;;;;0,0;0,0303192
0,200;0,000;;;0,0000000;;;0,0;0,0311890
0,400;0,000;0,000;;0,0000000;0,000;;0,0;0,0304718
0,600;0,000;0,000;0,000;0,0000000;0,000;0,000;0,0;0,0309906
0,800;0,000;0,000;0,000;0,0000000;0,000;0,000;0,0;0,0318146
1,000;0,000;0,000;-0,020;0,0000000;0,000;-4,687E-4;0,0;0,0325165
1,200;0,000;-0,008;-0,020;0,0000000;-1,875E-4;-4,687E-4;0,0;0,0325623
1,400;-0,003;-0,008;-8,674E-18;-7,5000000E-5;-1,875E-4;-2,711E-19;0,0;0,0315857
1,600;-0,003;-0,008;-0,010;-7,5000000E-5;-1,875E-4;-2,344E-4;0,0;0,0326996
1,800;-0,006;-0,012;0,039;-1,5000000E-4;-2,813E-4;9,375E-4;0,0;0,0320892
2,000;-0,008;0,008;0,079;-1,8750000E-4;1,875E-4;0,002;0,0;0,0327759
2,200;-0,003;0,020;0,020;-7,5000000E-5;4,687E-4;4,687E-4;0,0;0,0322418
2,400;4,337E-19;0,016;0,010;0,0000000;3,750E-4;2,344E-4;0,0;0,0314331
2,600;0,003;0,024;0,029;7,5000000E-5;5,625E-4;7,031E-4;0,0;0,0330963
2,800;0,009;0,027;-1,735E-17;2,2500000E-4;6,563E-4;-2,711E-19;0,0;0,0323792
3,000;0,014;0,024;-0,010;3,3750000E-4;5,625E-4;-2,344E-4;0,0;0,0340118
3,200;0,019;0,024;-0,010;4,5000000E-4;5,625E-4;-2,344E-4;0,0;0,0340424
3,400;0,024;0,020;-0,010;5,6250000E-4;4,688E-4;-2,344E-4;0,0;0,0341949
3,600;0,027;0,020;0,020;6,3750000E-4;4,687E-4;4,688E-4;0,0;0,0344849
3,800;0,031;0,027;0,020;7,5000000E-4;6,562E-4;4,688E-4;0,0;0,0335083
4,000;0,038;0,027;-0,029;9,0000000E-4;6,563E-4;-7,031E-4;0,0;0,0334473
4,200;0,042;0,016;-0,039;0,0010125;3,750E-4;-9,375E-4;0,0;0,0332947
4,400;0,044;0,012;-4,337E-17;0,0010500;2,812E-4;-6,776E-19;0,0;0,0337830
4,600;0,047;0,016;0,010;0,0011250;3,750E-4;2,344E-4;0,0;0,0332947
4,800;0,050;0,016;8,674E-17;0,0012000;3,750E-4;2,033E-18;0,0;0,0333405
5,000;0,053;0,016;-8,674E-17;0,0012750;3,750E-4;-2,033E-18;0,0;0,0328979
5,200;0,057;0,016;-8,674E-17;0,0013500;3,750E-4;-2,033E-18;0,0;0,0320129
5,400;0,060;0,016;-0,010;0,0014250;3,750E-4;-2,344E-4;0,0;0,0325012
5,600;0,063;0,012;-0,010;0,0015000;2,812E-4;-2,344E-4;0,0;0,0327454
5,800;0,064;0,012;6,505E-17;0,0015375;2,813E-4;1,626E-18;0,0;0,0319061
6,000;0,068;0,012;-0,010;0,0016125;2,813E-4;-2,344E-4;0,0;0,0329590
6,200;0,069;0,008;-0,010;0,0016500;1,875E-4;-2,344E-4;0,0;0,0325623
6,400;0,071;0,008;0,010;0,0016875;1,875E-4;2,344E-4;0,0;0,0330200
6,600;0,072;0,012;0,010;0,0017250;2,812E-4;2,344E-4;0,0;0,0335083
6,800;0,075;0,012;6,505E-17;0,0018000;2,813E-4;1,626E-18;0,0;0,0328522
7,000;0,077;0,012;-6,505E-17;0,0018375;2,813E-4;-1,626E-18;0,0;0,0324249
7,200;0,080;0,012;-0,010;0,0019125;2,812E-4;-2,344E-4;0,0;0,0339050
7,400;0,082;0,008;0,000;0,0019500;1,875E-4;0,000;0,0;0,0334473
7,600;0,083;0,012;0,010;0,0019875;2,812E-4;2,344E-4;0,0;0,0340271
7,800;0,086;0,012;0,000;0,0020625;2,813E-4;1,355E-18;0,0;0,0341339
8,000;0,088;0,012;-6,505E-17;0,0021000;2,813E-4;-1,626E-18;0,0;0,0332794
8,200;0,091;0,012;-0,010;0,0021750;2,813E-4;-2,344E-4;0,0;0,0339966
8,400;0,093;0,008;-0,010;0,0022125;1,875E-4;-2,344E-4;0,0;0,0339813
8,600;0,094;0,008;-8,674E-17;0,0022500;1,875E-4;-2,101E-18;0,0;0,0334167
8,800;0,096;0,008;0,000;0,0022875;1,875E-4;0,000;0,0;0,0320587
9,000;0,097;0,008;0,000;0,0023250;1,875E-4;0,000;0,0;0,0324707
9,200;0,099;0,008;0,010;0,0023625;1,875E-4;2,344E-4;0,0;0,0326996
9,400;0,101;0,012;0,010;0,0024000;2,813E-4;2,344E-4;0,0;0,0317383
9,600;0,104;0,012;1,301E-16;0,0024750;2,813E-4;3,117E-18;0,0;0,0318146
9,800;0,105;0,012;0,000;0,0025125;2,813E-4;0,000;0,0;0,0324554
10,000;0,108;0,012;-0,010;0,0025875;2,813E-4;-2,344E-4;0,0;0,0321503
10,200;0,110;0,008;0,000;0,0026250;1,875E-4;0,000;0,0;0,0317688
10,400;0,112;0,012;0,010;0,0026625;2,813E-4;2,344E-4;0,0;0,0324249
10,600;0,115;0,012;-0,010;0,0027375;2,813E-4;-2,344E-4;0,0;0,0317688
10,800;0,116;0,008;-0,010;0,0027750;1,875E-4;-2,344E-4;0,0;0,0323639
11,000;0,118;0,008;-8,674E-17;0,0028125;1,875E-4;-2,101E-18;0,0;0,0321655
11,200;0,119;0,008;0,000;0,0028500;1,875E-4;0,000;0,0;0,0319824
11,400;0,121;0,008;0,000;0,0028875;1,875E-4;0,000;0,0;0,0322876
11,600;0,123;0,008;1,735E-16;0,0029250;1,875E-4;2,101E-18;0,0;0,0321960
11,800;0,124;0,008;8,674E-17;0,0029625;1,875E-4;0,000;0,0;0,0325775
12,000;0,126;0,008;0,010;0,0030000;1,875E-4;2,344E-4;0,0;0,0314789
12,200;0,127;0,012;0,010;0,0030375;2,813E-4;2,344E-4;0,0;0,0324249
12,400;0,130;0,012;-0,010;0,0031125;2,813E-4;-2,344E-4;0,0;0,0323944
12,600;0,132;0,008;-0,010;0,0031500;1,875E-4;-2,344E-4;0,0;0,0326080
12,800;0,134;0,008;0,000;0,0031875;1,875E-4;0,000;0,0;0,0316162
13,000;0,135;0,008;-8,674E-17;0,0032250;1,875E-4;-2,101E-18;0,0;0,0326233
13,200;0,137;0,008;0,000;0,0032625;1,875E-4;0,000;0,0;0,0319977
13,400;0,138;0,008;0,010;0,0033000;1,875E-4;2,344E-4;0,0;0,0322418
13,600;0,140;0,012;0,010;0,0033375;2,813E-4;2,344E-4;0,0;0,0324097
13,800;0,143;0,012;-0,010;0,0034125;2,813E-4;-2,344E-4;0,0;0,0316315
14,000;0,145;0,008;-0,010;0,0034500;1,875E-4;-2,344E-4;0,0;0,0319519
14,200;0,146;0,008;0,010;0,0034875;1,875E-4;2,344E-4;0,0;0,0311890
14,400;0,148;0,012;0,010;0,0035250;2,813E-4;2,344E-4;0,0;0,0317841
14,600;0,151;0,012;-0,010;0,0036000;2,813E-4;-2,344E-4;0,0;0,0314484
14,800;0,152;0,008;-0,010;0,0036375;1,875E-4;-2,344E-4;0,0;0,0306854
15,000;0,154;0,008;-8,674E-17;0,0036750;1,875E-4;-2,101E-18;0,0;0,0314484
15,200;0,156;0,008;0,000;0,0037125;1,875E-4;0,000;0,0;0,0309296
15,400;0,157;0,008;0,000;0,0037500;1,875E-4;0,000;0,0;0,0313263
15,600;0,159;0,008;-0,010;0,0037875;1,875E-4;-2,344E-4;0,0;0,0305176
15,800;0,160;0,004;-0,010;0,0038250;9,375E-5;-2,344E-4;0,0;0,0309143
16,000;0,160;0,004;0,010;0,0038250;9,375E-5;2,344E-4;0,0;0,0310059
16,200;0,162;0,008;0,010;0,0038625;1,875E-4;2,344E-4;0,0;0,0303040
16,400;0,163;0,008;-0,010;0,0039000;1,875E-4;-2,344E-4;0,0;0,0307922
16,600;0,165;0,004;-0,010;0,0039375;9,375E-5;-2,344E-4;0,0;0,0310822
16,800;0,165;0,004;0,010;0,0039375;9,375E-5;2,344E-4;0,0;0,0308990
17,000;0,167;0,008;0,010;0,0039750;1,875E-4;2,344E-4;0,0;0,0303650
17,200;0,168;0,008;-0,010;0,0040125;1,875E-4;-2,344E-4;0,0;0,0310364
17,400;0,170;0,004;-0,010;0,0040500;9,375E-5;-2,344E-4;0,0;0,0302429
17,600;0,170;0,004;0,010;0,0040500;9,375E-5;2,344E-4;0,0;0,0301971
17,800;0,171;0,008;0,000;0,0040875;1,875E-4;0,000;0,0;0,0311127
18,000;0,173;0,004;-0,010;0,0041250;9,375E-5;-2,344E-4;0,0;0,0311737
18,200;0,173;0,004;-8,674E-17;0,0041250;9,375E-5;-2,101E-18;0,0;0,0300598
18,400;0,174;0,004;8,674E-17;0,0041625;9,375E-5;2,101E-18;0,0;0,0309296
18,600;0,174;0,004;0,010;0,0041625;9,375E-5;2,344E-4;0,0;0,0305939
18,800;0,176;0,008;-8,674E-17;0,0042000;1,875E-4;-2,101E-18;0,0;0,0304413
19,000;0,178;0,004;-0,010;0,0042375;9,375E-5;-2,344E-4;0,0;0,0312653
19,200;0,178;0,004;0,010;0,0042375;9,375E-5;2,344E-4;0,0;0,0311584
19,400;0,179;0,008;0,020;0,0042750;1,875E-4;4,688E-4;0,0;0,0312195
19,600;0,181;0,012;0,020;0,0043125;2,813E-4;4,688E-4;0,0;0,0309296
19,800;0,184;0,016;-2,602E-16;0,0043875;3,750E-4;-6,234E-18;0,0;0,0310822
20,000;0,187;0,012;-0,010;0,0044625;2,813E-4;-2,344E-4;0,0;0,0322266
20,200;0,188;0,012;2,602E-16;0,0045000;2,813E-4;6,234E-18;0,0;0,0320129
20,400;0,192;0,012;-0,010;0,0045750;2,813E-4;-2,344E-4;0,0;0,0316315
