Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
0,050	0,000			0,0000			0,050	0,000			0,0000		
0,100	0,000	0,000		0,0000	0,000		0,100	0,000	0,000		0,0000	0,000	
0,150	0,000	0,000	0,000	0,0000	0,000	0,000	0,150	0,000	0,000	0,000	0,0000	0,000	0,000
0,200	0,000	0,000	0,000	0,0000	0,000	0,000	0,200	0,000	0,000	0,000	0,0000	0,000	0,000
0,250	0,000	0,000	0,000	0,0000	0,000	0,000	0,250	0,000	0,000	0,000	0,0000	0,000	0,000
0,300	0,000	0,000	0,000	0,0000	0,000	0,000	0,300	0,000	0,000	0,000	0,0000	0,000	0,000
0,350	0,000	0,000	0,000	0,0000	0,000	0,000	0,350	0,000	0,000	0,000	0,0000	0,000	0,000
0,400	0,000	0,000	0,000	0,0000	0,000	0,000	0,400	0,000	0,000	0,000	0,0000	0,000	0,000
0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,450	0,000	0,000	0,000	0,0000	0,000	0,000
0,500	0,000	0,000	1,885	0,0000	0,000	0,045	0,500	0,000	0,000	0,000	0,0000	0,000	0,000
0,550	0,000	0,188	16,179	0,0000	0,004	0,386	0,550	0,000	0,000	0,000	0,0000	0,000	0,000
0,600	0,019	1,618	50,894	4,5000E-4	0,039	1,215	0,600	0,000	0,000	0,000	0,0000	0,000	0,000
0,650	0,162	5,278	86,080	0,0039	0,126	2,055	0,650	0,000	0,000	0,000	0,0000	0,000	0,000
0,700	0,547	10,226	91,892	0,0130	0,244	2,194	0,700	0,000	0,000	0,000	0,0000	0,000	0,000
0,750	1,184	14,467	71,471	0,0283	0,345	1,706	0,750	0,000	0,000	0,000	0,0000	0,000	0,000
0,800	1,993	17,373	48,381	0,0476	0,415	1,155	0,800	0,000	0,000	0,000	0,0000	0,000	0,000
0,850	2,922	19,305	27,646	0,0697	0,461	0,660	0,850	0,000	0,000	0,000	0,0000	0,000	0,000
0,900	3,924	20,138	5,498	0,0937	0,481	0,131	0,900	0,000	0,000	0,000	0,0000	0,000	0,000
0,950	4,935	19,855	-12,723	0,1178	0,474	-0,304	0,950	0,000	0,000	0,000	0,0000	0,000	0,000
1,000	5,909	18,865	-25,290	0,1411	0,450	-0,604	1,000	0,000	0,000	0,000	0,0000	0,000	0,000
1,050	6,822	17,326	-35,657	0,1629	0,414	-0,851	1,050	0,000	0,000	0,000	0,0000	0,000	0,000
1,100	7,642	15,300	-43,825	0,1824	0,365	-1,046	1,100	0,000	0,000	0,000	0,0000	0,000	0,000
1,150	8,352	12,943	-47,909	0,1994	0,309	-1,144	1,150	0,000	0,000	0,000	0,0000	0,000	0,000
1,200	8,936	10,509	-42,412	0,2133	0,251	-1,012	1,200	0,000	0,000	0,942	0,0000	0,000	0,023
1,250	9,403	8,702	-26,232	0,2245	0,208	-0,626	1,250	0,000	0,094	9,896	0,0000	0,002	0,236
1,300	9,806	7,885	-9,739	0,2341	0,188	-0,233	1,300	0,009	0,990	30,316	2,2500E-4	0,024	0,724
1,350	10,191	7,728	-2,827	0,2433	0,184	-0,068	1,350	0,099	3,126	47,909	0,0024	0,075	1,144
1,400	10,579	7,603	-5,341	0,2526	0,181	-0,127	1,400	0,322	5,781	57,962	0,0077	0,138	1,384
1,450	10,952	7,194	-8,011	0,2614	0,172	-0,191	1,450	0,677	8,922	67,073	0,0162	0,213	1,601
1,500	11,299	6,802	-7,226	0,2697	0,162	-0,173	1,500	1,214	12,488	64,403	0,0290	0,298	1,538
1,550	11,632	6,472	-7,697	0,2777	0,155	-0,184	1,550	1,926	15,362	45,239	0,0460	0,367	1,080
1,600	11,946	6,032	-8,639	0,2852	0,144	-0,206	1,600	2,750	17,012	24,347	0,0657	0,406	0,581
1,650	12,235	5,608	-5,655	0,2921	0,134	-0,135	1,650	3,627	17,797	14,608	0,0866	0,425	0,349
1,700	12,507	5,466	0,157	0,2986	0,131	0,004	1,700	4,530	18,473	11,310	0,1081	0,441	0,270
1,750	12,782	5,623	8,011	0,3051	0,134	0,191	1,750	5,474	18,928	1,571	0,1307	0,452	0,037
1,800	13,069	6,267	15,708	0,3120	0,150	0,375	1,800	6,423	18,630	-11,938	0,1533	0,445	-0,285
1,850	13,408	7,194	11,467	0,3201	0,172	0,274	1,850	7,337	17,734	-19,635	0,1752	0,423	-0,469
1,900	13,788	7,414	-5,184	0,3292	0,177	-0,124	1,900	8,196	16,666	-18,692	0,1957	0,398	-0,446
1,950	14,150	6,676	-22,934	0,3378	0,159	-0,548	1,950	9,004	15,865	-13,980	0,2149	0,379	-0,334
