Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
0,050	0,000			0,0000			0,050	0,000			0,0000			0,050	0,000			0,0000			0,050	0,000			0,0000			0,050	0,000			0,0000			0,050	0,000			0,0000			0,050	0,000			0,0000			0,050	0,000			0,0000			0,050	0,000			0,0000			0,050	0,000			0,0000			0,050	0,000			0,0000			0,050	0,000			0,0000			0,050	0,000			0,0000			0,050	0,000			0,0000			0,050	0,000			0,0000			0,050	0,000			0,0000			0,050	0,000			0,0000			0,050	0,000			0,0000			0,050	0,000			0,0000			0,050	0,000			0,0000		
0,100	0,000	0,000		0,0000	0,000		0,100	0,000	0,000		0,0000	0,000		0,100	0,000	0,000		0,0000	0,000		0,100	0,000	0,000		0,0000	0,000		0,100	0,000	0,000		0,0000	0,000		0,100	0,000	0,000		0,0000	0,000		0,100	0,000	0,000		0,0000	0,000		0,100	0,000	0,000		0,0000	0,000		0,100	0,000	0,000		0,0000	0,000		0,100	0,000	0,000		0,0000	0,000		0,100	0,000	0,000		0,0000	0,000		0,100	0,000	0,000		0,0000	0,000		0,100	0,000	0,000		0,0000	0,000		0,100	0,000	0,000		0,0000	0,000		0,100	0,000	0,000		0,0000	0,000		0,100	0,000	0,000		0,0000	0,000		0,100	0,000	0,000		0,0000	0,000		0,100	0,000	0,000		0,0000	0,000		0,100	0,000	0,000		0,0000	0,000		0,100	0,000	0,000		0,0000	0,000	
0,150	0,000	0,000	0,000	0,0000	0,000	0,000	0,150	0,000	0,000	0,000	0,0000	0,000	0,000	0,150	0,000	0,000	0,000	0,0000	0,000	0,000	0,150	0,000	0,000	0,000	0,0000	0,000	0,000	0,150	0,000	0,000	0,000	0,0000	0,000	0,000	0,150	0,000	0,000	0,000	0,0000	0,000	0,000	0,150	0,000	0,000	0,000	0,0000	0,000	0,000	0,150	0,000	0,000	0,000	0,0000	0,000	0,000	0,150	0,000	0,000	0,000	0,0000	0,000	0,000	0,150	0,000	0,000	0,000	0,0000	0,000	0,000	0,150	0,000	0,000	0,000	0,0000	0,000	0,000	0,150	0,000	0,000	0,000	0,0000	0,000	0,000	0,150	0,000	0,000	0,000	0,0000	0,000	0,000	0,150	0,000	0,000	0,000	0,0000	0,000	0,000	0,150	0,000	0,000	0,000	0,0000	0,000	0,000	0,150	0,000	0,000	0,000	0,0000	0,000	0,000	0,150	0,000	0,000	0,000	0,0000	0,000	0,000	0,150	0,000	0,000	0,000	0,0000	0,000	0,000	0,150	0,000	0,000	0,000	0,0000	0,000	0,000	0,150	0,000	0,000	0,000	0,0000	0,000	0,000
0,200	0,000	0,000	0,000	0,0000	0,000	0,000	0,200	0,000	0,000	0,000	0,0000	0,000	0,000	0,200	0,000	0,000	0,000	0,0000	0,000	0,000	0,200	0,000	0,000	0,000	0,0000	0,000	0,000	0,200	0,000	0,000	0,000	0,0000	0,000	0,000	0,200	0,000	0,000	0,000	0,0000	0,000	0,000	0,200	0,000	0,000	0,000	0,0000	0,000	0,000	0,200	0,000	0,000	0,000	0,0000	0,000	0,000	0,200	0,000	0,000	0,000	0,0000	0,000	0,000	0,200	0,000	0,000	0,000	0,0000	0,000	0,000	0,200	0,000	0,000	0,000	0,0000	0,000	0,000	0,200	0,000	0,000	0,000	0,0000	0,000	0,000	0,200	0,000	0,000	0,000	0,0000	0,000	0,000	0,200	0,000	0,000	0,000	0,0000	0,000	0,000	0,200	0,000	0,000	0,000	0,0000	0,000	0,000	0,200	0,000	0,000	0,000	0,0000	0,000	0,000	0,200	0,000	0,000	0,000	0,0000	0,000	0,000	0,200	0,000	0,000	0,000	0,0000	0,000	0,000	0,200	0,000	0,000	0,000	0,0000	0,000	0,000	0,200	0,000	0,000	0,000	0,0000	0,000	0,000
0,250	0,000	0,000	0,000	0,0000	0,000	0,000	0,250	0,000	0,000	0,000	0,0000	0,000	0,000	0,250	0,000	0,000	0,000	0,0000	0,000	0,000	0,250	0,000	0,000	0,000	0,0000	0,000	0,000	0,250	0,000	0,000	0,000	0,0000	0,000	0,000	0,250	0,000	0,000	0,000	0,0000	0,000	0,000	0,250	0,000	0,000	0,000	0,0000	0,000	0,000	0,250	0,000	0,000	0,000	0,0000	0,000	0,000	0,250	0,000	0,000	0,000	0,0000	0,000	0,000	0,250	0,000	0,000	0,000	0,0000	0,000	0,000	0,250	0,000	0,000	0,000	0,0000	0,000	0,000	0,250	0,000	0,000	0,000	0,0000	0,000	0,000	0,250	0,000	0,000	0,000	0,0000	0,000	0,000	0,250	0,000	0,000	0,000	0,0000	0,000	0,000	0,250	0,000	0,000	0,000	0,0000	0,000	0,000	0,250	0,000	0,000	0,000	0,0000	0,000	0,000	0,250	0,000	0,000	0,000	0,0000	0,000	0,000	0,250	0,000	0,000	0,000	0,0000	0,000	0,000	0,250	0,000	0,000	0,000	0,0000	0,000	0,000	0,250	0,000	0,000	0,000	0,0000	0,000	0,000
0,300	0,000	0,000	0,000	0,0000	0,000	0,000	0,300	0,000	0,000	0,000	0,0000	0,000	0,000	0,300	0,000	0,000	0,000	0,0000	0,000	0,000	0,300	0,000	0,000	0,000	0,0000	0,000	0,000	0,300	0,000	0,000	0,000	0,0000	0,000	0,000	0,300	0,000	0,000	0,000	0,0000	0,000	0,000	0,300	0,000	0,000	0,000	0,0000	0,000	0,000	0,300	0,000	0,000	0,000	0,0000	0,000	0,000	0,300	0,000	0,000	0,628	0,0000	0,000	0,015	0,300	0,000	0,000	0,000	0,0000	0,000	0,000	0,300	0,000	0,000	0,000	0,0000	0,000	0,000	0,300	0,000	0,000	0,000	0,0000	0,000	0,000	0,300	0,000	0,000	0,000	0,0000	0,000	0,000	0,300	0,000	0,000	0,000	0,0000	0,000	0,000	0,300	0,000	0,000	0,000	0,0000	0,000	0,000	0,300	0,000	0,000	0,000	0,0000	0,000	0,000	0,300	0,000	0,000	0,000	0,0000	0,000	0,000	0,300	0,000	0,000	0,000	0,0000	0,000	0,000	0,300	0,000	0,000	0,000	0,0000	0,000	0,000	0,300	0,000	0,000	0,000	0,0000	0,000	0,000
0,350	0,000	0,000	0,000	0,0000	0,000	0,000	0,350	0,000	0,000	0,000	0,0000	0,000	0,000	0,350	0,000	0,000	0,000	0,0000	0,000	0,000	0,350	0,000	0,000	0,000	0,0000	0,000	0,000	0,350	0,000	0,000	0,000	0,0000	0,000	0,000	0,350	0,000	0,000	0,000	0,0000	0,000	0,000	0,350	0,000	0,000	0,000	0,0000	0,000	0,000	0,350	0,000	0,000	0,000	0,0000	0,000	0,000	0,350	0,000	0,063	11,310	0,0000	0,002	0,270	0,350	0,000	0,000	0,000	0,0000	0,000	0,000	0,350	0,000	0,000	0,000	0,0000	0,000	0,000	0,350	0,000	0,000	0,000	0,0000	0,000	0,000	0,350	0,000	0,000	0,000	0,0000	0,000	0,000	0,350	0,000	0,000	0,000	0,0000	0,000	0,000	0,350	0,000	0,000	0,000	0,0000	0,000	0,000	0,350	0,000	0,000	0,000	0,0000	0,000	0,000	0,350	0,000	0,000	0,000	0,0000	0,000	0,000	0,350	0,000	0,000	0,000	0,0000	0,000	0,000	0,350	0,000	0,000	0,000	0,0000	0,000	0,000	0,350	0,000	0,000	0,000	0,0000	0,000	0,000
0,400	0,000	0,000	0,000	0,0000	0,000	0,000	0,400	0,000	0,000	0,000	0,0000	0,000	0,000	0,400	0,000	0,000	0,000	0,0000	0,000	0,000	0,400	0,000	0,000	0,000	0,0000	0,000	0,000	0,400	0,000	0,000	0,000	0,0000	0,000	0,000	0,400	0,000	0,000	0,000	0,0000	0,000	0,000	0,400	0,000	0,000	0,000	0,0000	0,000	0,000	0,400	0,000	0,000	0,000	0,0000	0,000	0,000	0,400	0,006	1,131	41,783	1,5000E-4	0,027	0,998	0,400	0,000	0,000	0,000	0,0000	0,000	0,000	0,400	0,000	0,000	0,000	0,0000	0,000	0,000	0,400	0,000	0,000	0,000	0,0000	0,000	0,000	0,400	0,000	0,000	0,000	0,0000	0,000	0,000	0,400	0,000	0,000	0,000	0,0000	0,000	0,000	0,400	0,000	0,000	0,000	0,0000	0,000	0,000	0,400	0,000	0,000	0,000	0,0000	0,000	0,000	0,400	0,000	0,000	0,000	0,0000	0,000	0,000	0,400	0,000	0,000	0,000	0,0000	0,000	0,000	0,400	0,000	0,000	0,000	0,0000	0,000	0,000	0,400	0,000	0,000	0,000	0,0000	0,000	0,000
0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,450	0,000	0,000	1,100	0,0000	0,000	0,026	0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,450	0,113	4,241	77,912	0,0027	0,101	1,860	0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,450	0,000	0,000	0,000	0,0000	0,000	0,000
0,500	0,000	0,000	0,000	0,0000	0,000	0,000	0,500	0,000	0,000	0,000	0,0000	0,000	0,000	0,500	0,000	0,000	0,000	0,0000	0,000	0,000	0,500	0,000	0,110	14,294	0,0000	0,003	0,341	0,500	0,000	0,000	0,000	0,0000	0,000	0,000	0,500	0,000	0,000	0,000	0,0000	0,000	0,000	0,500	0,000	0,000	0,000	0,0000	0,000	0,000	0,500	0,000	0,000	0,000	0,0000	0,000	0,000	0,500	0,430	8,922	96,761	0,0103	0,213	2,310	0,500	0,000	0,000	0,000	0,0000	0,000	0,000	0,500	0,000	0,000	0,000	0,0000	0,000	0,000	0,500	0,000	0,000	0,000	0,0000	0,000	0,000	0,500	0,000	0,000	0,000	0,0000	0,000	0,000	0,500	0,000	0,000	0,000	0,0000	0,000	0,000	0,500	0,000	0,000	0,000	0,0000	0,000	0,000	0,500	0,000	0,000	0,000	0,0000	0,000	0,000	0,500	0,000	0,000	0,000	0,0000	0,000	0,000	0,500	0,000	0,000	0,000	0,0000	0,000	0,000	0,500	0,000	0,000	0,000	0,0000	0,000	0,000	0,500	0,000	0,000	0,000	0,0000	0,000	0,000
