Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
0,050	0,000			0,0000		
0,100	0,000	0,000		0,0000	0,000	
0,150	0,000	0,000	0,000	0,0000	0,000	0,000
0,200	0,000	0,000	0,000	0,0000	0,000	0,000
0,250	0,000	0,000	0,000	0,0000	0,000	0,000
0,300	0,000	0,000	0,000	0,0000	0,000	0,000
0,350	0,000	0,000	0,000	0,0000	0,000	0,000
0,400	0,000	0,000	0,000	0,0000	0,000	0,000
0,450	0,000	0,000	0,000	0,0000	0,000	0,000
0,500	0,000	0,000	0,000	0,0000	0,000	0,000
0,550	0,000	0,000	0,000	0,0000	0,000	0,000
0,600	0,000	0,000	0,000	0,0000	0,000	0,000
0,650	0,000	0,000	0,000	0,0000	0,000	0,000
0,700	0,000	0,000	-0,157	0,0000	0,000	-0,004
0,750	0,000	-0,016	-0,157	0,0000	-3,750E-4	-0,004
0,800	-0,002	-0,016	0,000	-3,7500E-5	-3,750E-4	0,000
0,850	-0,002	-0,016	-0,314	-3,7500E-5	-3,750E-4	-0,007
0,900	-0,003	-0,047	-0,314	-7,5000E-5	-0,001	-0,008
0,950	-0,006	-0,047	-0,157	-1,5000E-4	-0,001	-0,004
1,000	-0,008	-0,063	-0,628	-1,8750E-4	-0,002	-0,015
1,050	-0,013	-0,110	-0,628	-3,0000E-4	-0,003	-0,015
1,100	-0,019	-0,126	-0,314	-4,5000E-4	-0,003	-0,007
1,150	-0,025	-0,141	-0,628	-6,0000E-4	-0,003	-0,015
1,200	-0,033	-0,188	-0,785	-7,8750E-4	-0,004	-0,019
1,250	-0,044	-0,220	-0,471	-0,0011	-0,005	-0,011
1,300	-0,055	-0,236	-0,471	-0,0013	-0,006	-0,011
1,350	-0,068	-0,267	-0,628	-0,0016	-0,006	-0,015
1,400	-0,082	-0,298	-0,314	-0,0020	-0,007	-0,008
1,450	-0,097	-0,298	0,314	-0,0023	-0,007	0,007
1,500	-0,112	-0,267	0,314	-0,0027	-0,006	0,008
1,550	-0,124	-0,267	7,216E-15	-0,0030	-0,006	1,475E-16
1,600	-0,138	-0,267	0,157	-0,0033	-0,006	0,004
1,650	-0,151	-0,251	0,314	-0,0036	-0,006	0,007
1,700	-0,163	-0,236	0,471	-0,0039	-0,006	0,011
1,750	-0,174	-0,204	0,314	-0,0042	-0,005	0,008
1,800	-0,184	-0,204	4,718E-15	-0,0044	-0,005	1,475E-16
1,850	-0,195	-0,204	0,157	-0,0047	-0,005	0,004
1,900	-0,204	-0,188	-4,718E-15	-0,0049	-0,005	-1,041E-16
1,950	-0,214	-0,204	-0,157	-0,0051	-0,005	-0,004
2,000	-0,225	-0,204	4,718E-15	-0,0054	-0,005	1,041E-16
