Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #6;Messreihe #6;Messreihe #6;Messreihe #6;Messreihe #6;Messreihe #6;Messreihe #6;Messreihe #7;Messreihe #7;Messreihe #7;Messreihe #7;Messreihe #7;Messreihe #7;Messreihe #7;Messreihe #8;Messreihe #8;Messreihe #8;Messreihe #8;Messreihe #8;Messreihe #8;Messreihe #8;Messreihe #9;Messreihe #9;Messreihe #9;Messreihe #9;Messreihe #9;Messreihe #9;Messreihe #9;Messreihe #10;Messreihe #10;Messreihe #10;Messreihe #10;Messreihe #10;Messreihe #10;Messreihe #10;Messreihe #11;Messreihe #11;Messreihe #11;Messreihe #11;Messreihe #11;Messreihe #11;Messreihe #11;Messreihe #12;Messreihe #12;Messreihe #12;Messreihe #12;Messreihe #12;Messreihe #12;Messreihe #12;Messreihe #13;Messreihe #13;Messreihe #13;Messreihe #13;Messreihe #13;Messreihe #13;Messreihe #13;Messreihe #14;Messreihe #14;Messreihe #14;Messreihe #14;Messreihe #14;Messreihe #14;Messreihe #14
Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²)
0,050;0,000;;;0,0000;;;0,050;0,000;;;0,0000;;;0,050;0,000;;;0,0000;;;0,050;0,000;;;0,0000;;;0,050;0,000;;;0,0000;;;0,050;0,000;;;0,0000;;;0,050;0,000;;;0,0000;;;0,050;0,000;;;0,0000;;;0,050;0,000;;;0,0000;;;0,050;0,000;;;0,0000;;;0,050;0,000;;;0,0000;;;0,050;0,000;;;0,0000;;;0,050;0,000;;;0,0000;;;0,050;0,000;;;0,0000;;
0,100;0,000;0,000;;0,0000;0,000;;0,100;0,000;0,000;;0,0000;0,000;;0,100;0,000;0,000;;0,0000;0,000;;0,100;0,000;0,000;;0,0000;0,000;;0,100;0,000;0,000;;0,0000;0,000;;0,100;0,000;0,000;;0,0000;0,000;;0,100;0,000;0,000;;0,0000;0,000;;0,100;0,000;0,000;;0,0000;0,000;;0,100;0,000;0,000;;0,0000;0,000;;0,100;0,000;0,000;;0,0000;0,000;;0,100;0,000;0,000;;0,0000;0,000;;0,100;0,000;0,000;;0,0000;0,000;;0,100;0,000;0,000;;0,0000;0,000;;0,100;0,000;0,000;;0,0000;0,000;
0,150;0,000;0,000;0,000;0,0000;0,000;0,000;0,150;0,000;0,000;0,000;0,0000;0,000;0,000;0,150;0,000;0,000;0,000;0,0000;0,000;0,000;0,150;0,000;0,000;0,000;0,0000;0,000;0,000;0,150;0,000;0,000;0,000;0,0000;0,000;0,000;0,150;0,000;0,000;0,000;0,0000;0,000;0,000;0,150;0,000;0,000;0,000;0,0000;0,000;0,000;0,150;0,000;0,000;0,000;0,0000;0,000;0,000;0,150;0,000;0,000;0,000;0,0000;0,000;0,000;0,150;0,000;0,000;0,000;0,0000;0,000;0,000;0,150;0,000;0,000;0,000;0,0000;0,000;0,000;0,150;0,000;0,000;0,000;0,0000;0,000;0,000;0,150;0,000;0,000;0,000;0,0000;0,000;0,000;0,150;0,000;0,000;0,000;0,0000;0,000;0,000
0,200;0,000;0,000;0,000;0,0000;0,000;0,000;0,200;0,000;0,000;0,000;0,0000;0,000;0,000;0,200;0,000;0,000;0,000;0,0000;0,000;0,000;0,200;0,000;0,000;0,000;0,0000;0,000;0,000;0,200;0,000;0,000;0,000;0,0000;0,000;0,000;0,200;0,000;0,000;0,000;0,0000;0,000;0,000;0,200;0,000;0,000;0,000;0,0000;0,000;0,000;0,200;0,000;0,000;0,000;0,0000;0,000;0,000;0,200;0,000;0,000;0,000;0,0000;0,000;0,000;0,200;0,000;0,000;0,000;0,0000;0,000;0,000;0,200;0,000;0,000;0,000;0,0000;0,000;0,000;0,200;0,000;0,000;0,000;0,0000;0,000;0,000;0,200;0,000;0,000;0,000;0,0000;0,000;0,000;0,200;0,000;0,000;0,000;0,0000;0,000;0,000
0,250;0,000;0,000;0,000;0,0000;0,000;0,000;0,250;0,000;0,000;0,000;0,0000;0,000;0,000;0,250;0,000;0,000;0,000;0,0000;0,000;0,000;0,250;0,000;0,000;0,000;0,0000;0,000;0,000;0,250;0,000;0,000;0,000;0,0000;0,000;0,000;0,250;0,000;0,000;0,000;0,0000;0,000;0,000;0,250;0,000;0,000;0,000;0,0000;0,000;0,000;0,250;0,000;0,000;0,000;0,0000;0,000;0,000;0,250;0,000;0,000;0,000;0,0000;0,000;0,000;0,250;0,000;0,000;0,000;0,0000;0,000;0,000;0,250;0,000;0,000;0,000;0,0000;0,000;0,000;0,250;0,000;0,000;0,000;0,0000;0,000;0,000;0,250;0,000;0,000;0,000;0,0000;0,000;0,000;0,250;0,000;0,000;0,000;0,0000;0,000;0,000
0,300;0,000;0,000;0,000;0,0000;0,000;0,000;0,300;0,000;0,000;0,000;0,0000;0,000;0,000;0,300;0,000;0,000;0,000;0,0000;0,000;0,000;0,300;0,000;0,000;0,000;0,0000;0,000;0,000;0,300;0,000;0,000;0,000;0,0000;0,000;0,000;0,300;0,000;0,000;0,000;0,0000;0,000;0,000;0,300;0,000;0,000;0,000;0,0000;0,000;0,000;0,300;0,000;0,000;0,000;0,0000;0,000;0,000;0,300;0,000;0,000;0,000;0,0000;0,000;0,000;0,300;0,000;0,000;0,000;0,0000;0,000;0,000;0,300;0,000;0,000;0,000;0,0000;0,000;0,000;0,300;0,000;0,000;0,000;0,0000;0,000;0,000;0,300;0,000;0,000;0,000;0,0000;0,000;0,000;0,300;0,000;0,000;0,000;0,0000;0,000;0,000
0,350;0,000;0,000;0,000;0,0000;0,000;0,000;0,350;0,000;0,000;0,000;0,0000;0,000;0,000;0,350;0,000;0,000;0,000;0,0000;0,000;0,000;0,350;0,000;0,000;0,000;0,0000;0,000;0,000;0,350;0,000;0,000;0,000;0,0000;0,000;0,000;0,350;0,000;0,000;0,000;0,0000;0,000;0,000;0,350;0,000;0,000;0,000;0,0000;0,000;0,000;0,350;0,000;0,000;0,000;0,0000;0,000;0,000;0,350;0,000;0,000;0,000;0,0000;0,000;0,000;0,350;0,000;0,000;0,000;0,0000;0,000;0,000;0,350;0,000;0,000;0,000;0,0000;0,000;0,000;0,350;0,000;0,000;0,000;0,0000;0,000;0,000;0,350;0,000;0,000;0,000;0,0000;0,000;0,000;0,350;0,000;0,000;0,000;0,0000;0,000;0,000
0,400;0,000;0,000;0,000;0,0000;0,000;0,000;0,400;0,000;0,000;0,000;0,0000;0,000;0,000;0,400;0,000;0,000;0,000;0,0000;0,000;0,000;0,400;0,000;0,000;0,000;0,0000;0,000;0,000;0,400;0,000;0,000;0,000;0,0000;0,000;0,000;0,400;0,000;0,000;0,000;0,0000;0,000;0,000;0,400;0,000;0,000;0,000;0,0000;0,000;0,000;0,400;0,000;0,000;0,000;0,0000;0,000;0,000;0,400;0,000;0,000;0,000;0,0000;0,000;0,000;0,400;0,000;0,000;0,000;0,0000;0,000;0,000;0,400;0,000;0,000;0,000;0,0000;0,000;0,000;0,400;0,000;0,000;0,000;0,0000;0,000;0,000;0,400;0,000;0,000;0,000;0,0000;0,000;0,000;0,400;0,000;0,000;0,000;0,0000;0,000;0,000
0,450;0,000;0,000;0,000;0,0000;0,000;0,000;0,450;0,000;0,000;0,000;0,0000;0,000;0,000;0,450;0,000;0,000;0,000;0,0000;0,000;0,000;0,450;0,000;0,000;0,000;0,0000;0,000;0,000;0,450;0,000;0,000;0,000;0,0000;0,000;0,000;0,450;0,000;0,000;0,000;0,0000;0,000;0,000;0,450;0,000;0,000;0,000;0,0000;0,000;0,000;0,450;0,000;0,000;0,000;0,0000;0,000;0,000;0,450;0,000;0,000;0,000;0,0000;0,000;0,000;0,450;0,000;0,000;0,000;0,0000;0,000;0,000;0,450;0,000;0,000;0,000;0,0000;0,000;0,000;0,450;0,000;0,000;0,000;0,0000;0,000;0,000;0,450;0,000;0,000;0,000;0,0000;0,000;0,000;0,450;0,000;0,000;0,000;0,0000;0,000;0,000
