Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
0,000	0,43		
0,020	0,43	0,11	
0,040	0,43	0,10	-0,42
0,060	0,43	0,09	-0,64
0,080	0,43	0,08	-0,65
0,100	0,44	0,07	-0,54
0,120	0,44	0,06	-0,54
0,140	0,44	0,04	-0,54
0,160	0,44	0,03	-0,42
0,180	0,44	0,03	-0,64
0,200	0,44	0,01	-0,77
0,220	0,44	0,00	-0,54
0,240	0,44	-0,01	-0,53
0,260	0,44	-0,02	-0,65
0,280	0,44	-0,04	-0,65
0,300	0,44	-0,05	-0,65
0,320	0,44	-0,06	-0,54
0,340	0,43	-0,07	-0,42
0,360	0,43	-0,08	-0,53
0,380	0,43	-0,09	-0,65
0,400	0,43	-0,11	-0,54
0,420	0,43	-0,12	-0,42
0,440	0,42	-0,12	-0,54
0,460	0,42	-0,14	-0,54
0,480	0,42	-0,15	-0,43
0,500	0,42	-0,15	-0,43
0,520	0,41	-0,16	-0,43
0,540	0,41	-0,17	-0,44
0,560	0,41	-0,18	-0,21
0,580	0,40	-0,18	-0,31
0,600	0,40	-0,19	-0,55
0,620	0,39	-0,20	-0,32
0,640	0,39	-0,21	-0,33
0,660	0,39	-0,22	-0,22
0,680	0,38	-0,21	-0,10
0,700	0,38	-0,22	-0,22
0,720	0,37	-0,22	-0,22
0,740	0,37	-0,23	-0,11
0,760	0,36	-0,23	-0,10
0,780	0,36	-0,23	-0,23
0,800	0,36	-0,24	-0,01
0,820	0,35	-0,23	0,11
0,840	0,35	-0,23	-5,07E-14
0,860	0,34	-0,23	-0,01
0,880	0,34	-0,23	0,10
0,900	0,33	-0,23	0,22
0,920	0,33	-0,22	0,11
0,940	0,32	-0,22	0,10
0,960	0,32	-0,22	0,22
0,980	0,31	-0,22	0,10
1,000	0,31	-0,22	0,21
1,020	0,31	-0,21	0,44
1,040	0,30	-0,20	0,33
1,060	0,30	-0,19	0,21
1,080	0,29	-0,19	0,31
1,100	0,29	-0,18	0,54
1,120	0,29	-0,17	0,44
1,140	0,28	-0,16	0,31
1,160	0,28	-0,16	0,54
1,180	0,28	-0,14	0,54
1,200	0,27	-0,13	0,43
1,220	0,27	-0,13	0,43
1,240	0,27	-0,12	0,43
1,260	0,27	-0,11	0,53
1,280	0,27	-0,10	0,65
1,300	0,26	-0,08	0,65
1,320	0,26	-0,07	0,65
1,340	0,26	-0,06	0,54
1,360	0,26	-0,05	0,53
1,380	0,26	-0,03	0,65
1,400	0,26	-0,02	0,54
1,420	0,26	-0,01	0,53
1,440	0,26	-4,83E-4	0,64
1,460	0,26	0,01	0,64
1,480	0,26	0,03	0,65
1,500	0,26	0,04	0,54
1,520	0,26	0,05	0,53
1,540	0,26	0,06	0,65
1,560	0,26	0,07	0,54
1,580	0,26	0,08	0,53
1,600	0,27	0,09	0,65
1,620	0,27	0,11	0,54
1,640	0,27	0,12	0,54
1,660	0,27	0,13	0,54
1,680	0,27	0,14	0,43
1,700	0,28	0,15	0,43
1,720	0,28	0,15	0,43
1,740	0,28	0,16	0,43
1,760	0,29	0,17	0,32
1,780	0,29	0,18	0,42
1,800	0,29	0,19	0,55
1,820	0,30	0,20	0,21
1,840	0,30	0,20	0,21
1,860	0,31	0,21	0,33
1,880	0,31	0,21	0,21
1,900	0,31	0,21	0,22
1,920	0,32	0,22	0,10
1,940	0,32	0,22	0,21
1,960	0,33	0,23	0,22
1,980	0,33	0,23	-0,01
2,000	0,34	0,23	0,11
2,020	0,34	0,23	0,11
2,040	0,35	0,23	0,01
2,060	0,35	0,23	-0,11
2,080	0,36	0,23	-0,11
2,100	0,36	0,23	0,01
2,120	0,36	0,23	-0,10
2,140	0,37	0,22	-0,21
2,160	0,37	0,22	-0,22
2,180	0,38	0,21	-0,10
2,200	0,38	0,22	-0,21
