Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
0,000	0,32		
0,020	0,32	-0,25	
0,040	0,31	-0,25	-3,47E-14
0,060	0,31	-0,25	0,00
0,080	0,30	-0,25	0,10
0,100	0,30	-0,25	0,22
0,120	0,29	-0,25	0,22
0,140	0,29	-0,24	0,11
0,160	0,29	-0,24	0,10
0,180	0,28	-0,24	0,22
0,200	0,28	-0,23	0,10
0,220	0,27	-0,23	0,21
0,240	0,27	-0,22	0,43
0,260	0,26	-0,22	0,32
0,280	0,26	-0,21	0,32
0,300	0,25	-0,20	0,43
0,320	0,25	-0,19	0,43
0,340	0,25	-0,19	0,54
0,360	0,24	-0,17	0,55
0,380	0,24	-0,16	0,32
0,400	0,24	-0,16	0,42
0,420	0,23	-0,15	0,65
0,440	0,23	-0,13	0,54
0,460	0,23	-0,13	0,43
0,480	0,22	-0,12	0,53
0,500	0,22	-0,10	0,65
0,520	0,22	-0,09	0,64
0,540	0,22	-0,08	0,76
0,560	0,22	-0,06	0,65
0,580	0,22	-0,05	0,53
0,600	0,22	-0,04	0,65
0,620	0,21	-0,03	0,53
0,640	0,21	-0,02	0,64
0,660	0,21	-4,02E-4	0,76
0,680	0,21	0,01	0,54
0,700	0,21	0,02	0,53
0,720	0,22	0,03	0,75
0,740	0,22	0,05	0,87
0,760	0,22	0,07	0,65
0,780	0,22	0,08	0,42
0,800	0,22	0,09	0,64
0,820	0,22	0,10	0,65
0,840	0,22	0,11	0,43
0,860	0,23	0,12	0,53
0,880	0,23	0,13	0,65
0,900	0,23	0,15	0,54
0,920	0,24	0,15	0,43
0,940	0,24	0,16	0,54
0,960	0,24	0,18	0,54
0,980	0,25	0,18	0,54
1,000	0,25	0,20	0,55
1,020	0,25	0,21	0,21
1,040	0,26	0,21	0,21
1,060	0,26	0,21	0,44
1,080	0,27	0,22	0,21
1,100	0,27	0,22	0,21
1,120	0,27	0,23	0,44
1,140	0,28	0,24	0,22
1,160	0,28	0,24	0,10
1,180	0,29	0,24	0,21
1,200	0,29	0,25	0,22
1,220	0,30	0,25	0,12
1,240	0,30	0,25	-0,11
1,260	0,31	0,25	-0,12
1,280	0,31	0,25	0,11
1,300	0,32	0,25	0,12
1,320	0,32	0,25	-0,21
1,340	0,33	0,24	-0,22
1,360	0,33	0,24	0,01
1,380	0,34	0,25	-0,10
1,400	0,34	0,24	-0,21
1,420	0,35	0,24	-0,21
1,440	0,35	0,23	-0,21
1,460	0,36	0,23	-0,32
1,480	0,36	0,22	-0,43
1,500	0,37	0,21	-0,32
1,520	0,37	0,21	-0,32
1,540	0,38	0,20	-0,43
1,560	0,38	0,19	-0,43
1,580	0,38	0,18	-0,44
1,600	0,39	0,17	-0,32
1,620	0,39	0,17	-0,42
1,640	0,39	0,16	-0,54
1,660	0,40	0,15	-0,42
1,680	0,40	0,14	-0,63
1,700	0,40	0,12	-0,88
1,720	0,40	0,10	-0,55
1,740	0,41	0,10	-0,30
1,760	0,41	0,09	-0,64
1,780	0,41	0,07	-0,65
1,800	0,41	0,07	-0,53
1,820	0,41	0,05	-0,65
1,840	0,41	0,04	-0,54
1,860	0,41	0,03	-0,52
1,880	0,41	0,02	-0,75
1,900	0,41	7,76E-4	-0,76
1,920	0,41	-0,01	-0,65
1,940	0,41	-0,03	-0,65
1,960	0,41	-0,04	-0,54
1,980	0,41	-0,05	-0,53
2,000	0,41	-0,06	-0,65
2,020	0,41	-0,07	-0,65
2,040	0,41	-0,09	-0,54
2,060	0,41	-0,09	-0,42
2,080	0,40	-0,10	-0,65
2,100	0,40	-0,12	-0,66
2,120	0,40	-0,13	-0,42
2,140	0,40	-0,14	-0,53
