Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
0,000	0,30		
0,020	0,30	-0,11	
0,040	0,30	-0,10	0,65
0,060	0,30	-0,09	0,65
0,080	0,30	-0,07	0,54
0,100	0,30	-0,07	0,53
0,120	0,29	-0,05	0,75
0,140	0,29	-0,03	0,76
0,160	0,29	-0,02	0,54
0,180	0,29	-0,01	0,54
0,200	0,29	-3,65E-4	0,54
0,220	0,29	0,01	0,42
0,240	0,29	0,02	0,64
0,260	0,29	0,03	0,65
0,280	0,29	0,04	0,42
0,300	0,29	0,05	0,64
0,320	0,30	0,07	0,76
0,340	0,30	0,08	0,54
0,360	0,30	0,09	0,53
0,380	0,30	0,10	0,65
0,400	0,30	0,12	0,54
0,420	0,31	0,12	0,43
0,440	0,31	0,13	0,43
0,460	0,31	0,14	0,32
0,480	0,31	0,15	0,31
0,500	0,32	0,15	0,54
0,520	0,32	0,17	0,43
0,540	0,32	0,17	0,31
0,560	0,33	0,18	0,54
0,580	0,33	0,19	0,44
0,600	0,33	0,20	0,21
0,620	0,34	0,20	0,22
0,640	0,34	0,21	0,11
0,660	0,35	0,21	0,10
0,680	0,35	0,21	0,21
0,700	0,35	0,21	0,22
0,720	0,36	0,22	0,11
0,740	0,36	0,22	-0,01
0,760	0,37	0,22	0,11
0,780	0,37	0,22	0,12
0,800	0,38	0,22	-0,11
0,820	0,38	0,22	-0,12
0,840	0,39	0,22	0,12
0,860	0,39	0,22	-0,09
0,880	0,39	0,22	-0,44
0,900	0,40	0,21	-0,22
0,920	0,40	0,21	-0,10
0,940	0,41	0,20	-0,21
0,960	0,41	0,20	-0,21
0,980	0,41	0,19	-0,32
1,000	0,42	0,19	-0,33
1,020	0,42	0,18	-0,21
1,040	0,43	0,18	-0,32
1,060	0,43	0,17	-0,43
1,080	0,43	0,16	-0,43
1,100	0,44	0,15	-0,43
1,120	0,44	0,14	-0,42
1,140	0,44	0,13	-0,54
1,160	0,44	0,12	-0,54
1,180	0,45	0,11	-0,42
1,200	0,45	0,10	-0,54
1,220	0,45	0,09	-0,54
1,240	0,45	0,08	-0,54
1,260	0,45	0,07	-0,54
1,280	0,46	0,06	-0,42
1,300	0,46	0,05	-0,64
1,320	0,46	0,03	-0,65
1,340	0,46	0,03	-0,52
1,360	0,46	0,01	-0,76
1,380	0,46	0,00	-0,66
1,400	0,46	-0,01	-0,42
1,420	0,46	-0,02	-0,53
1,440	0,46	-0,03	-0,65
1,460	0,46	-0,05	-0,54
1,480	0,46	-0,06	-0,53
1,500	0,45	-0,07	-0,65
1,520	0,45	-0,08	-0,54
1,540	0,45	-0,09	-0,42
1,560	0,45	-0,10	-0,53
1,580	0,45	-0,11	-0,65
1,600	0,44	-0,12	-0,55
1,620	0,44	-0,13	-0,44
1,640	0,44	-0,14	-0,32
1,660	0,44	-0,15	-0,31
1,680	0,43	-0,15	-0,54
1,700	0,43	-0,17	-0,44
1,720	0,43	-0,17	-0,32
1,740	0,42	-0,18	-0,33
1,760	0,42	-0,18	-0,21
1,780	0,42	-0,19	-0,32
1,800	0,41	-0,20	-0,32
1,820	0,41	-0,20	-0,33
1,840	0,40	-0,21	-0,23
1,860	0,40	-0,21	0,01
1,880	0,40	-0,21	-0,22
1,900	0,39	-0,22	-0,23
1,920	0,39	-0,22	4,16E-15
1,940	0,38	-0,22	-6,52E-14
1,960	0,38	-0,22	0,01
1,980	0,37	-0,22	-0,11
2,000	0,37	-0,22	-0,01
2,020	0,36	-0,22	0,11
2,040	0,36	-0,22	-0,01
2,060	0,36	-0,22	0,10
2,080	0,35	-0,22	0,21
2,100	0,35	-0,21	0,32
2,120	0,34	-0,20	0,33
2,140	0,34	-0,20	0,21
2,160	0,34	-0,19	0,32
2,180	0,33	-0,19	0,33
2,200	0,33	-0,18	0,21
2,220	0,32	-0,18	0,32
2,240	0,32	-0,17	0,32
2,260	0,32	-0,16	0,31
2,280	0,31	-0,16	0,54
2,300	0,31	-0,14	0,54
2,320	0,31	-0,13	0,43
2,340	0,31	-0,13	0,53
2,360	0,30	-0,11	0,65
2,380	0,30	-0,10	0,54
2,400	0,30	-0,09	0,43
2,420	0,30	-0,08	0,53
2,440	0,30	-0,07	0,65
2,460	0,30	-0,06	0,43
2,480	0,29	-0,05	0,42
2,500	0,29	-0,04	0,65
2,520	0,29	-0,03	0,64
2,540	0,29	-0,01	0,76
2,560	0,29	0,00	0,65
2,580	0,29	0,01	0,53
2,600	0,29	0,03	0,64
2,620	0,29	0,04	0,65
2,640	0,29	0,05	0,54
2,660	0,30	0,06	0,43
2,680	0,30	0,07	0,54
2,700	0,30	0,08	0,54
2,720	0,30	0,09	0,54
2,740	0,30	0,10	0,54
2,760	0,30	0,11	0,53
2,780	0,31	0,12	0,65
2,800	0,31	0,14	0,43
2,820	0,31	0,14	0,42
2,840	0,31	0,15	0,55
2,860	0,32	0,16	0,32
